,cluster,size,icp55_shorpl,pim1_shorpl,avg_clust_coeff,avg_deg,avg_inner_deg,avg_outer_deg
248,248,6,5,5,0.9333333333333335,6.166666666666667,4.666666666666667,1.5
249,249,8,3,3,0.7773809523809524,14.75,5.0,9.75
250,250,2,4,4,0.0,15.0,1.0,14.0
251,251,3,6,5,0.0,2.3333333333333335,0.0,2.3333333333333335
252,252,1,5,4,0.0,4.0,0.0,4.0
253,253,2,7,6,0.0,2.0,0.0,2.0
254,254,13,5,5,0.5932234432234432,5.538461538461538,4.769230769230769,0.7692307692307693
255,255,13,6,4,0.72002442002442,7.153846153846154,4.461538461538462,2.6923076923076925
256,256,2,4,4,0.0,6.5,1.0,5.5
257,257,8,4,3,0.7083333333333333,10.375,4.0,6.375
258,258,7,5,4,0.47619047619047616,3.857142857142857,1.4285714285714286,2.4285714285714284
259,259,7,4,3,0.6095238095238095,13.428571428571429,3.142857142857143,10.285714285714286
260,260,9,3,3,0.6,10.666666666666666,2.888888888888889,7.777777777777778
261,261,1,3,4,0.0,22.0,0.0,22.0
262,262,3,4,3,1.0,5.666666666666667,2.0,3.6666666666666665
263,263,31,3,3,0.8449700100737882,27.35483870967742,19.032258064516128,8.32258064516129
264,264,5,3,3,1.0,10.0,4.0,6.0
265,265,1,4,4,0.0,12.0,0.0,12.0
266,266,4,4,4,1.0,7.0,3.0,4.0
267,267,49,4,3,0.504233927444384,10.918367346938776,8.571428571428571,2.3469387755102042
268,268,4,4,4,0.0,12.75,0.0,12.75
269,269,3,4,4,0.0,2.3333333333333335,0.0,2.3333333333333335
270,270,4,6,5,0.5833333333333333,2.25,2.0,0.25
271,271,2,5,4,0.0,4.0,0.0,4.0
272,272,1,5,4,0.0,5.0,0.0,5.0
273,273,12,4,3,0.3928571428571428,8.333333333333334,2.8333333333333335,5.5
274,274,7,4,3,0.42857142857142855,4.428571428571429,0.8571428571428571,3.5714285714285716
275,275,2,4,3,0.0,16.5,0.0,16.5
276,276,8,4,4,0.8410714285714287,15.875,5.5,10.375
277,277,3,5,3,0.0,15.0,0.6666666666666666,14.333333333333334
278,278,1,4,3,0.0,16.0,0.0,16.0
279,279,1,4,3,0.0,5.0,0.0,5.0
280,280,1,5,4,0.0,8.0,0.0,8.0
281,281,14,3,3,0.6569727891156463,8.357142857142858,3.7142857142857144,4.642857142857143
282,282,3,3,4,0.0,13.666666666666666,0.6666666666666666,13.0
283,283,3,4,4,0.0,13.333333333333334,0.0,13.333333333333334
284,284,9,4,1,0.6925925925925926,6.888888888888889,4.888888888888889,2.0
285,285,1,5,1,0.0,3.0,0.0,3.0
286,286,2,6,5,0.0,1.5,0.0,1.5
287,287,3,4,3,0.0,10.0,0.0,10.0
288,288,2,4,3,0.0,17.0,0.0,17.0
289,289,9,4,3,0.6507936507936508,7.333333333333333,4.0,3.3333333333333335
290,290,2,4,4,0.0,9.5,1.0,8.5
291,291,1,4,4,0.0,14.0,0.0,14.0
292,292,7,6,4,0.5761904761904761,4.142857142857143,3.7142857142857144,0.42857142857142855
293,293,4,5,4,0.5833333333333333,6.5,2.0,4.5
294,294,7,4,4,0.6523809523809524,5.714285714285714,3.142857142857143,2.5714285714285716
295,295,1,7,6,0.0,2.0,0.0,2.0
296,296,9,4,3,0.28888888888888886,9.777777777777779,2.4444444444444446,7.333333333333333
297,297,2,4,4,0.0,14.5,1.0,13.5
298,298,9,4,3,0.25925925925925924,10.88888888888889,0.8888888888888888,10.0
299,299,2,4,4,0.0,17.0,0.0,17.0
300,300,1,4,4,0.0,13.0,0.0,13.0
301,301,2,4,4,0.0,16.0,0.0,16.0
302,302,3,4,4,1.0,13.333333333333334,2.0,11.333333333333334
303,303,10,4,4,0.75,6.8,6.0,0.8
304,304,4,3,4,0.0,3.25,0.0,3.25
305,305,1,5,4,0.0,3.0,0.0,3.0
306,306,1,4,4,0.0,7.0,0.0,7.0
307,307,6,4,4,0.7222222222222223,4.333333333333333,2.0,2.3333333333333335
308,308,1,4,3,0.0,8.0,0.0,8.0
309,309,16,3,3,0.671338383838384,13.0,7.25,5.75
310,310,8,4,4,0.9119047619047618,8.0,6.25,1.75
311,311,10,6,4,0.7923809523809523,4.5,4.2,0.3
312,312,4,5,4,0.8333333333333333,5.75,2.5,3.25
313,313,2,4,3,0.0,21.5,0.0,21.5
314,314,2,7,6,0.0,1.5,0.0,1.5
315,315,2,6,5,0.0,2.5,0.0,2.5
316,316,3,4,3,1.0,4.0,2.0,2.0
317,317,7,2,5,0.3095238095238096,7.142857142857143,1.7142857142857142,5.428571428571429
318,318,2,1,4,0.0,10.0,0.0,10.0
319,319,2,0,2,0.0,5.5,0.0,5.5
320,320,4,5,4,0.8333333333333333,8.25,2.5,5.75
321,321,2,4,3,0.0,3.5,1.0,2.5
322,322,2,5,5,0.0,4.5,1.0,3.5
323,323,3,5,4,0.0,3.6666666666666665,0.6666666666666666,3.0
324,324,6,5,5,0.6777777777777777,4.0,3.0,1.0
325,325,6,3,3,0.5277777777777778,8.0,2.6666666666666665,5.333333333333333
326,326,2,5,4,0.0,7.5,0.0,7.5
327,327,3,5,5,1.0,8.0,2.0,6.0
328,328,2,5,5,0.0,2.0,0.0,2.0
329,329,2,5,4,0.0,3.0,0.0,3.0
330,330,4,4,3,0.0,2.25,0.0,2.25
331,331,8,5,4,0.6410714285714286,8.875,4.0,4.875
332,332,19,3,3,0.7093199198462357,16.57894736842105,9.263157894736842,7.315789473684211
333,333,2,4,4,0.0,5.0,0.0,5.0
334,334,1,4,4,0.0,8.0,0.0,8.0
335,335,3,5,4,0.0,6.666666666666667,0.6666666666666666,6.0
336,336,25,5,4,0.6373202353202354,9.08,8.32,0.76
337,337,7,5,4,0.0,2.2857142857142856,0.0,2.2857142857142856
338,338,4,6,5,0.0,2.5,0.0,2.5
339,339,1,5,4,0.0,14.0,0.0,14.0
340,340,3,5,5,0.0,2.3333333333333335,0.6666666666666666,1.6666666666666667
341,341,4,9,9,0.5833333333333333,2.25,2.0,0.25
342,342,9,4,3,0.746031746031746,5.333333333333333,4.888888888888889,0.4444444444444444
343,343,1,5,5,0.0,3.0,0.0,3.0
344,344,7,5,4,0.7714285714285715,4.857142857142857,2.5714285714285716,2.2857142857142856
345,345,6,4,3,0.9333333333333335,7.166666666666667,4.666666666666667,2.5
346,346,2,5,6,0.0,2.0,0.0,2.0
347,347,2,4,4,0.0,4.5,0.0,4.5
348,348,1,4,4,0.0,5.0,0.0,5.0
349,349,2,3,4,0.0,7.5,0.0,7.5
350,350,1,4,4,0.0,17.0,0.0,17.0
351,351,1,5,4,0.0,7.0,0.0,7.0
352,352,6,5,5,0.38888888888888884,6.166666666666667,1.3333333333333333,4.833333333333333
353,353,5,5,4,0.3333333333333333,7.8,2.0,5.8
354,354,1,4,4,0.0,17.0,0.0,17.0
355,355,1,4,4,0.0,10.0,0.0,10.0
356,356,2,6,6,0.0,2.0,0.0,2.0
357,357,3,5,5,0.0,1.6666666666666667,0.0,1.6666666666666667
358,358,13,5,6,0.4844322344322345,4.769230769230769,4.0,0.7692307692307693
359,359,2,4,5,0.0,8.5,0.0,8.5
360,360,15,5,4,0.6711640211640212,6.0,4.8,1.2
361,361,2,5,5,0.0,2.0,0.0,2.0
362,362,2,4,5,0.0,3.5,0.0,3.5
363,363,3,4,4,0.0,6.333333333333333,0.6666666666666666,5.666666666666667
364,364,1,5,4,0.0,2.0,0.0,2.0
365,365,1,4,4,0.0,2.0,0.0,2.0
366,366,7,5,3,0.8095238095238095,6.714285714285714,4.285714285714286,2.4285714285714284
367,367,1,4,4,0.0,14.0,0.0,14.0
368,368,14,4,4,0.7687177901463615,8.285714285714286,6.428571428571429,1.8571428571428572
369,369,3,4,3,0.0,2.6666666666666665,0.0,2.6666666666666665
370,370,1,4,4,0.0,5.0,0.0,5.0
371,371,1,3,4,0.0,17.0,0.0,17.0
372,372,7,4,5,0.8523809523809522,5.0,4.571428571428571,0.42857142857142855
373,373,2,4,4,0.0,5.0,0.0,5.0
374,374,8,2,4,0.9404761904761906,11.875,6.5,5.375
375,375,2,3,5,0.0,13.0,0.0,13.0
376,376,1,4,3,0.0,10.0,0.0,10.0
377,377,3,4,4,1.0,8.333333333333334,2.0,6.333333333333333
378,378,1,4,4,0.0,10.0,0.0,10.0
379,379,13,4,4,1.0,20.846153846153847,12.0,8.846153846153847
380,380,4,4,4,0.0,4.5,1.0,3.5
381,381,2,4,5,0.0,3.0,0.0,3.0
382,382,3,4,3,1.0,12.666666666666666,2.0,10.666666666666666
383,383,23,3,4,0.768689929445078,15.652173913043478,13.217391304347826,2.4347826086956523
384,384,4,4,3,0.75,17.25,1.5,15.75
385,385,1,4,4,0.0,9.0,0.0,9.0
386,386,7,3,4,0.8095238095238094,5.714285714285714,4.571428571428571,1.1428571428571428
387,387,3,5,5,0.0,5.666666666666667,0.0,5.666666666666667
388,388,1,4,4,0.0,18.0,0.0,18.0
389,389,4,3,3,0.0,7.0,0.0,7.0
390,390,7,3,3,0.6666666666666666,4.714285714285714,2.2857142857142856,2.4285714285714284
391,391,3,5,5,1.0,3.6666666666666665,2.0,1.6666666666666667
392,392,5,4,4,0.6666666666666666,6.8,2.0,4.8
393,393,2,4,4,0.0,10.0,0.0,10.0
394,394,18,5,4,0.6445927529260864,7.055555555555555,6.111111111111111,0.9444444444444444
395,395,16,5,4,0.26041666666666663,6.25,1.75,4.5
396,396,4,4,4,0.0,10.5,1.0,9.5
397,397,4,4,4,0.5833333333333333,2.75,2.0,0.75
398,398,1,5,5,0.0,5.0,0.0,5.0
399,399,1,4,4,0.0,10.0,0.0,10.0
400,400,2,4,4,0.0,13.0,0.0,13.0
401,401,7,6,5,0.4285714285714285,5.0,1.7142857142857142,3.2857142857142856
402,402,1,5,4,0.0,10.0,0.0,10.0
403,403,3,4,4,0.0,3.6666666666666665,0.6666666666666666,3.0
404,404,5,4,4,0.7,5.0,2.8,2.2
405,405,4,3,3,0.5833333333333334,6.75,2.0,4.75
406,406,5,4,4,0.0,14.2,1.6,12.6
407,407,1,5,4,0.0,15.0,0.0,15.0
408,408,1,5,4,0.0,4.0,0.0,4.0
409,409,5,5,5,0.8666666666666666,3.6,3.2,0.4
410,410,1,7,7,0.0,2.0,0.0,2.0
411,411,3,4,4,1.0,4.333333333333333,2.0,2.3333333333333335
412,412,9,4,3,0.7002645502645503,7.888888888888889,5.111111111111111,2.7777777777777777
413,413,3,5,4,0.0,2.0,0.0,2.0
414,414,8,5,4,0.6125,5.375,4.0,1.375
415,415,4,4,3,1.0,6.25,3.0,3.25
416,416,5,9,7,1.0,4.8,4.0,0.8
417,417,9,4,4,0.9034391534391535,7.777777777777778,5.555555555555555,2.2222222222222223
418,418,1,4,3,0.0,27.0,0.0,27.0
419,419,3,5,4,0.0,3.0,0.6666666666666666,2.3333333333333335
420,420,9,4,4,0.5740740740740741,6.777777777777778,3.5555555555555554,3.2222222222222223
421,421,3,5,4,0.0,3.6666666666666665,0.0,3.6666666666666665
422,422,4,4,4,0.0,4.0,0.5,3.5
423,423,1,5,4,0.0,16.0,0.0,16.0
424,424,4,4,4,0.8333333333333333,10.0,2.5,7.5
425,425,2,4,4,0.0,3.5,0.0,3.5
426,426,1,4,4,0.0,16.0,0.0,16.0
427,427,2,4,4,0.0,7.0,0.0,7.0
428,428,1,7,5,0.0,7.0,0.0,7.0
429,429,3,7,5,1.0,4.333333333333333,2.0,2.3333333333333335
430,430,4,8,6,0.5833333333333333,2.75,2.0,0.75
431,431,1,7,5,0.0,12.0,0.0,12.0
432,432,1,3,4,0.0,10.0,0.0,10.0
433,433,3,3,4,0.0,4.333333333333333,0.0,4.333333333333333
434,434,5,4,2,0.0,6.2,0.0,6.2
435,435,1,4,4,0.0,6.0,0.0,6.0
436,436,1,4,4,0.0,12.0,0.0,12.0
437,437,13,3,4,0.8218614718614717,9.307692307692308,6.153846153846154,3.1538461538461537
438,438,1,4,4,0.0,5.0,0.0,5.0
439,439,8,4,3,0.5833333333333333,9.125,2.25,6.875
440,440,1,5,5,0.0,8.0,0.0,8.0
441,441,2,5,4,0.0,6.5,0.0,6.5
442,442,2,6,6,0.0,2.0,0.0,2.0
443,443,6,4,4,0.0,3.5,0.3333333333333333,3.1666666666666665
444,444,4,5,5,0.0,5.5,1.0,4.5
445,445,3,6,6,1.0,3.3333333333333335,2.0,1.3333333333333333
446,446,15,5,4,0.7678499278499279,5.333333333333333,4.533333333333333,0.8
447,447,2,4,4,0.0,4.5,1.0,3.5
448,448,1,4,3,0.0,19.0,0.0,19.0
449,449,2,6,6,0.0,2.0,0.0,2.0
450,450,6,5,4,1.0,5.666666666666667,5.0,0.6666666666666666
451,451,6,4,4,1.0,5.333333333333333,5.0,0.3333333333333333
452,452,3,5,5,0.0,2.0,0.0,2.0
453,453,1,3,4,0.0,9.0,0.0,9.0
454,454,4,4,5,1.0,6.0,3.0,3.0
455,455,2,5,4,0.0,3.5,1.0,2.5
456,456,1,4,4,0.0,13.0,0.0,13.0
457,457,5,4,4,0.7666666666666666,4.8,2.8,2.0
458,458,1,5,4,0.0,2.0,0.0,2.0
459,459,2,4,4,0.0,5.0,0.0,5.0
460,460,13,5,4,0.697008547008547,7.538461538461538,4.923076923076923,2.6153846153846154
461,461,5,6,5,0.0,2.8,0.0,2.8
462,462,5,6,5,0.4666666666666667,3.6,2.0,1.6
463,463,1,5,5,0.0,5.0,0.0,5.0
464,464,6,9,7,0.5833333333333334,4.166666666666667,2.3333333333333335,1.8333333333333333
465,465,1,4,3,0.0,5.0,0.0,5.0
466,466,1,4,4,0.0,6.0,0.0,6.0
467,467,1,4,4,0.0,22.0,0.0,22.0
468,468,1,4,4,0.0,5.0,0.0,5.0
469,469,1,4,3,0.0,4.0,0.0,4.0
470,470,3,4,4,0.0,2.3333333333333335,0.0,2.3333333333333335
471,471,1,6,5,0.0,2.0,0.0,2.0
472,472,3,4,3,0.0,9.0,0.0,9.0
473,473,2,6,5,0.0,1.5,0.0,1.5
474,474,1,5,4,0.0,8.0,0.0,8.0
475,475,1,4,3,0.0,7.0,0.0,7.0
476,476,6,6,5,0.7111111111111111,4.833333333333333,3.6666666666666665,1.1666666666666667
477,477,2,5,5,0.0,3.0,0.0,3.0
478,478,2,6,6,0.0,3.0,1.0,2.0
479,479,2,6,6,0.0,4.0,0.0,4.0
480,480,1,5,5,0.0,3.0,0.0,3.0
481,481,6,4,4,0.7222222222222222,5.666666666666667,2.6666666666666665,3.0
482,482,3,7,7,1.0,4.0,2.0,2.0
483,483,1,5,5,0.0,3.0,0.0,3.0
484,484,1,5,4,0.0,4.0,0.0,4.0
485,485,1,5,6,0.0,2.0,0.0,2.0
486,486,9,4,4,0.9365079365079363,11.88888888888889,7.111111111111111,4.777777777777778
487,487,1,6,5,0.0,7.0,0.0,7.0
488,488,3,5,5,0.0,6.0,0.0,6.0
489,489,1,3,4,0.0,7.0,0.0,7.0
490,490,6,6,6,0.5,5.0,2.0,3.0
491,491,1,6,6,0.0,6.0,0.0,6.0
492,492,1,6,6,0.0,4.0,0.0,4.0
493,493,2,6,5,0.0,2.0,0.0,2.0
494,494,1,5,4,0.0,7.0,0.0,7.0
495,495,3,6,7,0.0,1.3333333333333333,0.0,1.3333333333333333
496,496,2,5,6,0.0,2.5,0.0,2.5
497,497,1,4,4,0.0,11.0,0.0,11.0
498,498,2,5,5,0.0,5.5,1.0,4.5
499,499,2,5,4,0.0,3.5,0.0,3.5
500,500,3,5,5,0.0,2.3333333333333335,0.0,2.3333333333333335
501,501,1,5,4,0.0,2.0,0.0,2.0
502,502,4,3,4,0.8333333333333333,6.0,2.5,3.5
503,503,2,5,5,0.0,4.0,0.0,4.0
504,504,1,6,5,0.0,3.0,0.0,3.0
505,505,2,5,5,0.0,2.0,0.0,2.0
506,506,1,5,4,0.0,2.0,0.0,2.0
507,507,1,4,4,0.0,6.0,0.0,6.0
508,508,1,4,4,0.0,3.0,0.0,3.0
509,509,2,5,4,0.0,6.0,0.0,6.0
510,510,1,5,5,0.0,3.0,0.0,3.0
511,511,4,4,4,0.0,1.5,0.0,1.5
512,512,6,4,4,0.5,4.333333333333333,2.6666666666666665,1.6666666666666667
513,513,3,5,5,1.0,2.6666666666666665,2.0,0.6666666666666666
514,514,4,4,4,1.0,4.5,3.0,1.5
515,515,3,5,4,0.0,3.3333333333333335,0.0,3.3333333333333335
516,516,1,4,4,0.0,3.0,0.0,3.0
517,517,2,5,4,0.0,3.0,1.0,2.0
518,518,3,5,5,1.0,2.3333333333333335,2.0,0.3333333333333333
519,519,1,8,6,0.0,2.0,0.0,2.0
520,520,3,9,7,0.0,1.3333333333333333,0.0,1.3333333333333333
521,521,1,8,6,0.0,3.0,0.0,3.0
522,522,1,10,8,0.0,2.0,0.0,2.0
523,523,1,7,6,0.0,2.0,0.0,2.0
524,524,2,5,4,0.0,4.0,0.0,4.0
525,525,1,5,4,0.0,7.0,0.0,7.0
526,526,1,5,5,0.0,4.0,0.0,4.0
527,527,1,5,5,0.0,4.0,0.0,4.0
528,528,4,5,5,0.0,2.5,0.0,2.5
529,529,1,6,5,0.0,5.0,0.0,5.0
530,530,1,6,5,0.0,2.0,0.0,2.0
531,531,1,5,5,0.0,2.0,0.0,2.0
532,532,1,5,4,0.0,3.0,0.0,3.0
533,533,3,4,4,1.0,2.3333333333333335,2.0,0.3333333333333333
534,534,1,5,5,0.0,4.0,0.0,4.0
535,535,2,6,5,0.0,1.5,0.0,1.5
536,536,1,7,6,0.0,2.0,0.0,2.0
537,537,1,7,7,0.0,2.0,0.0,2.0
538,538,1,5,5,0.0,3.0,0.0,3.0
539,539,1,6,5,0.0,2.0,0.0,2.0
540,540,3,5,5,0.0,1.6666666666666667,0.0,1.6666666666666667
541,541,1,6,4,0.0,3.0,0.0,3.0
542,542,21,7,7,0.9284521464088028,17.476190476190474,17.333333333333332,0.14285714285714285
543,543,1,6,6,0.0,4.0,0.0,4.0
544,544,1,7,6,0.0,2.0,0.0,2.0
545,545,1,6,6,0.0,5.0,0.0,5.0
546,546,2,6,5,0.0,2.5,0.0,2.5
547,547,1,6,6,0.0,3.0,0.0,3.0
548,548,1,4,5,0.0,2.0,0.0,2.0
549,549,2,4,5,0.0,1.5,0.0,1.5
550,550,2,6,6,0.0,1.5,0.0,1.5
551,551,1,7,7,0.0,2.0,0.0,2.0
552,552,2,6,6,0.0,2.5,0.0,2.5
553,553,1,5,4,0.0,2.0,0.0,2.0
554,554,4,11,9,1.0,3.5,3.0,0.5
555,555,1,5,4,0.0,2.0,0.0,2.0
556,556,1,6,6,0.0,3.0,0.0,3.0
557,557,3,8,6,0.0,4.333333333333333,0.6666666666666666,3.6666666666666665
558,558,1,9,7,0.0,4.0,0.0,4.0
559,559,3,5,6,0.0,2.0,0.0,2.0
560,560,3,4,5,0.0,2.3333333333333335,0.0,2.3333333333333335
561,561,3,7,6,0.0,2.6666666666666665,0.6666666666666666,2.0
562,562,1,4,5,0.0,4.0,0.0,4.0
563,563,6,9,7,0.0,3.5,0.3333333333333333,3.1666666666666665
564,564,1,9,7,0.0,7.0,0.0,7.0
565,565,5,10,8,0.0,3.8,0.8,3.0
566,566,2,10,8,0.0,3.5,1.0,2.5
567,567,1,9,7,0.0,3.0,0.0,3.0
568,568,3,10,8,0.0,2.3333333333333335,0.0,2.3333333333333335
569,569,2,11,9,0.0,3.0,0.0,3.0
