,cluster,protein,degree,betweenness_centrality,eigenvector_centrality,degree_centrality
507,70,YDL020C,1,0.000,0.500,0.500
508,70,YGL017W,1,0.000,0.500,0.500
509,71,YML007W,2,0.000,0.577,1.000
510,71,YIR037W,2,0.000,0.577,1.000
511,71,YBR216C,2,0.000,0.577,1.000
512,72,YOR117W,39,0.007,0.170,0.886
513,72,YOR362C,37,0.006,0.164,0.841
514,72,YPR103W,37,0.006,0.164,0.841
515,72,YER094C,37,0.006,0.164,0.841
516,72,YDR394W,38,0.005,0.167,0.864
517,72,YOR261C,38,0.005,0.167,0.864
518,72,YDL007W,39,0.007,0.170,0.886
519,72,YHR200W,39,0.007,0.170,0.886
520,72,YKL145W,39,0.007,0.170,0.886
521,72,YDL147W,39,0.007,0.170,0.886
522,72,YLR421C,38,0.005,0.167,0.864
523,72,YBL041W,37,0.006,0.164,0.841
524,72,YGL011C,37,0.006,0.164,0.841
525,72,YGL048C,39,0.007,0.170,0.886
526,72,YOR259C,39,0.007,0.170,0.886
527,72,YHR027C,38,0.005,0.167,0.864
528,73,YJR066W,10,0.037,0.302,0.833
529,73,YHR186C,10,0.037,0.302,0.833
530,73,YJL058C,10,0.016,0.315,0.833
531,73,YNL006W,10,0.016,0.315,0.833
532,73,YOL078W,10,0.016,0.315,0.833
533,73,YMR068W,10,0.016,0.315,0.833
534,73,YER093C,10,0.016,0.315,0.833
535,74,YDR466W,1,0.000,0.707,1.000
536,74,YBL105C,1,0.000,0.707,1.000
537,75,YCR021C,2,0.000,0.577,1.000
538,75,YCR027C,2,0.000,0.577,1.000
539,75,YNL270C,2,0.000,0.577,1.000
540,76,YDL047W,0,0.000,1.000,1.000
541,77,YIL153W,12,0.019,0.296,0.571
542,77,YDR075W,11,0.010,0.281,0.524
543,77,YML109W,5,0.012,0.120,0.238
544,77,YMR028W,10,0.017,0.243,0.476
545,77,YPL152W,12,0.019,0.296,0.571
546,78,YDR211W,5,0.000,0.405,0.833
547,78,YOR260W,5,0.000,0.405,0.833
548,78,YDR283C,5,0.000,0.405,0.833
549,78,YGR083C,5,0.000,0.405,0.833
550,78,YGL230C,1,0.000,0.083,0.167
551,78,YKR026C,5,0.000,0.405,0.833
552,79,YGR249W,0,0.000,0.500,0.000
553,79,YGL073W,0,0.000,0.500,0.000
554,79,YJR147W,0,0.000,0.500,0.000
555,79,YHR206W,0,0.000,0.500,0.000
556,80,YNL223W,11,0.017,0.257,0.458
557,80,YPL149W,11,0.010,0.264,0.458
558,80,YPR185W,10,0.014,0.236,0.417
559,80,YBR217W,11,0.011,0.260,0.458
560,80,YLR423C,9,0.007,0.213,0.375
561,80,YPL166W,10,0.013,0.229,0.417
562,80,YDR022C,8,0.004,0.203,0.333
563,81,YKL033W,7,0.084,0.406,0.778
564,81,YCR060W,5,0.079,0.296,0.556
565,82,YML121W,4,0.167,0.510,1.000
566,82,YBR077C,3,0.000,0.439,0.750
567,82,YGR163W,4,0.167,0.510,1.000
568,82,YCR075W-A,3,0.000,0.439,0.750
569,82,YGL023C,2,0.000,0.307,0.500
570,83,YGL064C,1,0.000,0.226,0.167
571,83,YKR059W,1,0.000,0.226,0.167
572,83,YPL119C,2,0.000,0.347,0.333
573,83,YOR276W,2,0.000,0.347,0.333
574,83,YOR204W,2,0.000,0.347,0.333
575,83,YCL037C,2,0.000,0.347,0.333
576,84,YMR104C,1,0.000,0.707,1.000
577,84,YMR103C,1,0.000,0.707,1.000
578,85,YMR106C,6,0.033,0.405,1.000
579,85,YMR284W,6,0.033,0.405,1.000
580,85,YCR014C,6,0.033,0.405,1.000
581,85,YOR005C,6,0.033,0.405,1.000
582,86,YHR057C,1,0.000,0.271,0.250
583,86,YML078W,1,0.000,0.271,0.250
584,86,YGR037C,2,0.000,0.473,0.500
585,86,YLR179C,2,0.000,0.473,0.500
586,87,YKL161C,4,0.052,0.318,0.571
587,87,YOR231W,5,0.040,0.414,0.714
588,88,YJR155W,3,0.000,0.298,0.500
589,88,YJR154W,3,0.000,0.298,0.500
590,88,YGR286C,3,0.000,0.317,0.500
591,88,YGR065C,3,0.000,0.317,0.500
592,88,YNR057C,4,0.022,0.377,0.667
593,89,YDR232W,7,0.000,0.351,0.778
594,89,YOR278W,7,0.000,0.351,0.778
595,89,YDR047W,7,0.000,0.351,0.778
596,89,YOR176W,7,0.000,0.351,0.778
597,89,YDL119C,1,0.000,0.051,0.111
598,89,YDL205C,7,0.000,0.351,0.778
599,89,YGL040C,7,0.000,0.351,0.778
600,89,YLR205C,1,0.000,0.051,0.111
601,90,YIL003W,6,0.013,0.392,1.000
602,90,YIL128W,6,0.013,0.392,1.000
603,90,YGL091C,6,0.013,0.392,1.000
604,90,YHR122W,6,0.013,0.392,1.000
605,90,YNL240C,6,0.013,0.392,1.000
606,91,YBL014C,6,0.000,0.378,1.000
607,91,YML043C,6,0.000,0.378,1.000
608,91,YOR295W,6,0.000,0.378,1.000
609,91,YLR141W,6,0.000,0.378,1.000
610,91,YBL025W,6,0.000,0.378,1.000
611,91,YJL025W,6,0.000,0.378,1.000
612,91,YMR270C,6,0.000,0.378,1.000
613,92,YIL036W,1,0.000,0.500,0.500
614,92,YDR034C,1,0.000,0.500,0.500
615,93,YBR017C,10,0.032,0.316,0.769
616,93,YGL241W,10,0.033,0.310,0.769
617,93,YPL125W,9,0.021,0.293,0.692
618,94,YOL012C,0,0.000,1.000,1.000
619,95,YBR019C,6,0.033,0.405,1.000
620,95,YML051W,6,0.033,0.405,1.000
621,95,YBR020W,6,0.033,0.405,1.000
622,95,YDR009W,6,0.033,0.405,1.000
623,96,YBL091C,2,0.000,0.523,0.667
624,96,YHR112C,2,0.000,0.523,0.667
625,96,YNR029C,1,0.000,0.282,0.333
626,97,YHR013C,8,0.085,0.358,0.727
627,97,YEL053C,8,0.094,0.364,0.727
628,97,YPR051W,8,0.094,0.364,0.727
629,97,YOR253W,8,0.085,0.358,0.727
630,98,YOR091W,3,0.033,0.384,0.500
631,98,YGR173W,3,0.067,0.417,0.500
632,99,YNL315C,1,0.000,0.500,0.500
633,99,YIL098C,1,0.000,0.500,0.500
634,100,YOL027C,1,0.000,0.707,1.000
635,100,YER154W,1,0.000,0.707,1.000
636,101,YMR228W,1,0.000,0.408,0.333
637,101,YDL044C,1,0.000,0.408,0.333
638,101,YOR330C,1,0.000,0.408,0.333
639,102,YLR393W,1,0.000,0.707,1.000
640,102,YNR020C,1,0.000,0.707,1.000
641,103,YHR060W,2,0.000,0.218,0.286
642,103,YKL119C,2,0.000,0.218,0.286
643,103,YHR132C,1,0.000,0.144,0.143
644,103,YGR106C,3,0.000,0.422,0.429
645,103,YGR105W,3,0.000,0.422,0.429
646,103,YOR161C,1,0.000,0.144,0.143
647,104,YLR056W,15,0.017,0.186,0.600
648,104,YMR202W,15,0.017,0.186,0.600
649,104,YLR100W,17,0.016,0.212,0.680
650,104,YPL117C,16,0.011,0.194,0.640
651,104,YJL167W,17,0.014,0.206,0.680
652,104,YPL028W,17,0.017,0.207,0.680
653,104,YGL001C,18,0.011,0.228,0.720
654,105,YMR101C,5,0.052,0.276,0.500
655,105,YBR002C,5,0.052,0.276,0.500
656,105,YMR274C,6,0.050,0.331,0.600
657,105,YDL193W,5,0.052,0.276,0.500
658,106,YLR201C,9,0.004,0.321,0.750
659,106,YML110C,9,0.004,0.321,0.750
660,106,YBR003W,9,0.004,0.321,0.750
661,106,YNR041C,9,0.040,0.305,0.750
662,106,YGL119W,9,0.040,0.305,0.750
663,106,YDR204W,9,0.004,0.321,0.750
664,107,YOR156C,8,0.000,0.331,0.800
665,107,YDR390C,8,0.000,0.331,0.800
666,107,YIL031W,8,0.000,0.331,0.800
667,107,YEL019C,8,0.000,0.331,0.800
668,107,YDR409W,8,0.000,0.331,0.800
669,107,YLL035W,2,0.000,0.049,0.200
670,107,YDL064W,8,0.000,0.331,0.800
671,107,YDR510W,8,0.000,0.331,0.800
672,107,YPR180W,8,0.000,0.331,0.800
673,107,YKR063C,2,0.000,0.049,0.200
674,108,YKL068W,25,0.009,0.192,0.694
675,108,YER107C,24,0.006,0.186,0.667
676,108,YDL116W,26,0.009,0.196,0.722
677,108,YDL088C,27,0.013,0.202,0.750
678,108,YDR002W,12,0.009,0.074,0.333
679,108,YML103C,24,0.011,0.180,0.667
680,108,YJL061W,22,0.008,0.172,0.611
681,108,YMR129W,22,0.008,0.165,0.611
682,108,YGL092W,28,0.011,0.209,0.778
683,108,YJL039C,26,0.007,0.199,0.722
684,109,YBR082C,2,0.000,0.577,1.000
685,109,YDR177W,2,0.000,0.577,1.000
686,109,YDR059C,2,0.000,0.577,1.000
687,110,YBR088C,0,0.000,1.000,1.000
688,111,YDR451C,3,0.083,0.470,0.750
689,111,YML027W,3,0.083,0.470,0.750
690,112,YIL026C,12,0.054,0.282,0.750
691,112,YDL105W,10,0.028,0.243,0.625
692,112,YLR007W,9,0.017,0.219,0.562
693,112,YDL003W,13,0.054,0.312,0.812
694,112,YDR288W,9,0.017,0.219,0.562
695,113,YPL247C,1,0.000,0.500,0.500
696,113,YJL142C,1,0.000,0.500,0.500
697,114,YPL181W,19,0.010,0.242,0.760
698,114,YKL185W,16,0.009,0.200,0.640
699,114,YPL139C,20,0.017,0.248,0.800
700,114,YNL097C,19,0.012,0.241,0.760
701,114,YIL084C,19,0.012,0.241,0.760
702,114,YDL076C,19,0.010,0.242,0.760
703,115,YLR394W,6,0.019,0.213,0.300
704,115,YIL072W,5,0.021,0.143,0.250
705,115,YGL251C,7,0.017,0.251,0.350
706,115,YOR351C,6,0.032,0.156,0.300
707,115,YER179W,8,0.029,0.254,0.400
708,115,YBR186W,7,0.018,0.246,0.350
709,116,YDL102W,33,0.010,0.131,0.579
710,116,YNL273W,31,0.015,0.122,0.544
711,116,YJL072C,34,0.005,0.144,0.596
712,116,YJR006W,23,0.004,0.095,0.404
713,116,YCL016C,25,0.009,0.106,0.439
714,116,YNL312W,27,0.005,0.114,0.474
715,116,YDR013W,37,0.008,0.154,0.649
716,116,YJR068W,35,0.007,0.143,0.614
717,116,YDR489W,35,0.005,0.148,0.614
718,116,YKL045W,40,0.015,0.160,0.702
719,116,YJL090C,31,0.005,0.130,0.544
720,116,YPR175W,41,0.012,0.168,0.719
721,116,YBR060C,36,0.006,0.153,0.632
722,116,YNL261W,35,0.005,0.150,0.614
723,117,YOR185C,1,0.000,0.707,1.000
724,117,YLR293C,1,0.000,0.707,1.000
725,118,YDR325W,10,0.012,0.300,0.833
726,118,YNL088W,10,0.012,0.300,0.833
727,118,YGR188C,10,0.037,0.285,0.833
728,118,YEL061C,11,0.032,0.317,0.917
729,118,YBL063W,10,0.012,0.300,0.833
730,118,YJL013C,10,0.037,0.285,0.833
731,119,YEL012W,1,0.000,0.707,1.000
732,119,YKL210W,1,0.000,0.707,1.000
733,120,YGL100W,7,0.000,0.319,0.500
734,120,YOL138C,7,0.000,0.319,0.500
735,120,YBL104C,8,0.011,0.343,0.571
736,120,YKL176C,2,0.000,0.080,0.143
737,120,YNR026C,3,0.000,0.078,0.214
738,120,YHL023C,7,0.000,0.319,0.500
739,120,YPL085W,4,0.004,0.087,0.286
740,120,YEL062W,8,0.011,0.343,0.571
741,120,YCR067C,3,0.000,0.078,0.214
742,120,YHR035W,2,0.000,0.066,0.143
743,120,YJR138W,7,0.000,0.319,0.500
744,120,YDR128W,8,0.011,0.343,0.571
745,121,YLR247C,1,0.000,0.707,1.000
746,121,YDR092W,1,0.000,0.707,1.000
747,122,YML011C,1,0.000,0.707,1.000
748,122,YDR314C,1,0.000,0.707,1.000
749,123,YNL021W,2,0.000,0.577,1.000
750,123,YDR295C,2,0.000,0.577,1.000
751,123,YPR179C,2,0.000,0.577,1.000
752,124,YOL149W,7,0.114,0.400,0.778
753,124,YNL118C,6,0.017,0.380,0.667
754,124,YJL124C,6,0.017,0.380,0.667
755,124,YGL173C,6,0.017,0.380,0.667
756,124,YEL015W,7,0.114,0.400,0.778
757,125,YDR091C,2,0.000,0.577,1.000
758,125,YJR067C,2,0.000,0.577,1.000
759,125,YNL260C,2,0.000,0.577,1.000
760,126,YLL026W,3,0.083,0.557,0.750
761,126,YDR258C,2,0.000,0.435,0.500
762,126,YNL064C,2,0.000,0.435,0.500
763,126,YNL007C,3,0.083,0.557,0.750
764,126,YNL077W,0,0.000,0.000,0.000
765,127,YLR351C,5,0.002,0.277,0.500
766,127,YDR111C,6,0.002,0.327,0.600
767,127,YAL062W,7,0.011,0.364,0.700
768,127,YOR375C,7,0.011,0.364,0.700
769,127,YGR124W,3,0.002,0.131,0.300
770,127,YDL215C,7,0.011,0.364,0.700
771,127,YPR145W,3,0.002,0.131,0.300
772,127,YLR089C,6,0.002,0.327,0.600
773,127,YDR321W,2,0.002,0.111,0.200
774,128,YDL021W,11,0.013,0.244,0.733
775,128,YOL056W,11,0.013,0.244,0.733
776,128,YKL060C,13,0.030,0.286,0.867
777,128,YHR174W,12,0.022,0.268,0.800
778,128,YGR254W,12,0.022,0.268,0.800
779,129,YEL046C,1,0.000,0.500,0.500
780,129,YPL113C,1,0.000,0.500,0.500
781,130,YOR130C,3,0.000,0.235,0.500
782,130,YOL140W,5,0.000,0.378,0.833
783,130,YHR018C,6,0.067,0.415,1.000
784,130,YJL071W,5,0.000,0.378,0.833
785,130,YJL088W,5,0.000,0.378,0.833
786,130,YMR062C,6,0.067,0.415,1.000
787,130,YER069W,6,0.067,0.415,1.000
788,131,YPL262W,3,0.167,0.557,1.000
789,131,YOR142W,3,0.167,0.557,1.000
790,132,YIL020C,2,0.000,0.097,0.143
791,132,YDR354W,2,0.000,0.115,0.143
792,132,YNL316C,3,0.000,0.201,0.214
793,132,YDR035W,5,0.000,0.297,0.357
794,132,YDR127W,5,0.000,0.297,0.357
795,132,YBR249C,5,0.000,0.297,0.357
796,132,YMR289W,2,0.000,0.111,0.143
797,132,YBR248C,3,0.005,0.131,0.214
798,132,YNR033W,4,0.011,0.219,0.286
799,132,YBR235W,1,0.000,0.076,0.071
800,132,YOR348C,1,0.000,0.076,0.071
801,133,YCL030C,3,0.167,0.557,1.000
802,133,YIL116W,3,0.167,0.557,1.000
803,134,YGL026C,0,0.000,1.000,1.000
804,135,YMR300C,1,0.000,0.707,1.000
805,135,YGR061C,1,0.000,0.707,1.000
806,136,YKL109W,3,0.000,0.500,1.000
807,136,YBL021C,3,0.000,0.500,1.000
808,136,YOR358W,3,0.000,0.500,1.000
809,136,YGL237C,3,0.000,0.500,1.000
810,137,YIR029W,2,0.000,0.523,0.667
811,137,YIR028W,2,0.000,0.523,0.667
812,137,YMR292W,1,0.000,0.282,0.333
813,138,YEL026W,0,0.000,1.000,1.000
814,139,YKR084C,0,0.000,1.000,1.000
815,140,YBR213W,4,0.000,0.265,0.400
816,140,YCL050C,2,0.000,0.082,0.200
817,140,YFR030W,6,0.028,0.372,0.600
818,140,YJR137C,6,0.028,0.372,0.600
819,140,YNL277W,5,0.000,0.333,0.500
820,140,YCL007C,1,0.000,0.068,0.100
821,140,YDR530C,2,0.000,0.082,0.200
822,140,YOL064C,3,0.000,0.206,0.300
823,141,YNL103W,4,0.056,0.479,1.000
824,141,YIR017C,4,0.056,0.479,1.000
825,141,YJR060W,4,0.056,0.479,1.000
826,142,YGR012W,8,0.004,0.261,0.667
827,142,YLR303W,10,0.008,0.318,0.833
828,142,YML082W,10,0.008,0.318,0.833
829,142,YJR130C,9,0.004,0.293,0.750
830,142,YAL012W,10,0.008,0.318,0.833
831,142,YGL184C,9,0.004,0.293,0.750
832,142,YGR155W,9,0.004,0.293,0.750
833,142,YLL058W,10,0.008,0.318,0.833
834,142,YFR055W,8,0.004,0.261,0.667
835,143,YLR092W,2,0.000,0.577,1.000
836,143,YGR125W,2,0.000,0.577,1.000
837,143,YBR294W,2,0.000,0.577,1.000
838,144,YKR069W,0,0.000,1.000,1.000
839,145,YGR093W,1,0.000,0.707,1.000
840,145,YKL149C,1,0.000,0.707,1.000
841,146,YGR287C,2,0.028,0.250,0.200
842,146,YIL099W,4,0.085,0.308,0.400
843,146,YIL172C,2,0.028,0.250,0.200
844,147,YBR298C,3,0.000,0.439,0.750
845,147,YBR297W,3,0.000,0.439,0.750
846,147,YGR288W,2,0.000,0.307,0.500
847,147,YBR299W,4,0.167,0.510,1.000
848,147,YGR292W,4,0.167,0.510,1.000
849,148,YDR342C,2,0.000,0.134,0.286
850,148,YDR343C,2,0.000,0.134,0.286
851,148,YDR516C,3,0.000,0.293,0.429
852,148,YMR099C,5,0.032,0.429,0.714
853,148,YCL040W,5,0.032,0.429,0.714
854,148,YGL253W,4,0.000,0.376,0.571
855,148,YLR446W,4,0.000,0.376,0.571
856,149,YLR327C,2,0.000,0.307,0.500
857,149,YER053C,3,0.000,0.439,0.750
858,149,YEL011W,4,0.167,0.510,1.000
859,149,YER067W,4,0.167,0.510,1.000
860,149,YLR258W,3,0.000,0.439,0.750
861,150,YGR044C,1,0.000,0.500,0.500
862,150,YMR139W,1,0.000,0.500,0.500
863,151,YJL137C,3,0.000,0.315,0.375
864,151,YAL017W,1,0.000,0.126,0.125
865,151,YKR058W,2,0.000,0.240,0.250
866,151,YPR160W,3,0.000,0.315,0.375
867,151,YOL045W,1,0.000,0.126,0.125
868,151,YGR032W,3,0.000,0.315,0.375
869,151,YMR306W,3,0.000,0.315,0.375
870,152,YIL136W,13,0.003,0.188,0.302
871,152,YIL101C,3,0.002,0.035,0.070
872,152,YBR072W,10,0.003,0.139,0.233
873,152,YHR087W,17,0.015,0.215,0.395
874,152,YKL151C,9,0.006,0.127,0.209
875,152,YDR070C,14,0.005,0.190,0.326
876,152,YNL194C,4,0.002,0.058,0.093
877,152,YNL274C,8,0.002,0.126,0.186
878,152,YDL204W,15,0.015,0.200,0.349
879,152,YLR251W,7,0.003,0.096,0.163
880,152,YBR001C,6,0.002,0.051,0.140
881,153,YER008C,11,0.005,0.293,0.579
882,153,YIL068C,11,0.014,0.291,0.579
883,153,YBR102C,11,0.014,0.288,0.579
884,153,YLR166C,11,0.005,0.293,0.579
885,153,YJL085W,11,0.014,0.288,0.579
886,153,YDR166C,11,0.014,0.291,0.579
887,154,YDL190C,9,0.029,0.146,0.333
888,154,YKL213C,8,0.004,0.159,0.296
889,154,YBR201W,11,0.003,0.244,0.407
890,154,YLR207W,11,0.003,0.244,0.407
891,154,YBL058W,10,0.018,0.177,0.370
892,154,YMR067C,9,0.025,0.156,0.333
893,154,YDR330W,7,0.008,0.130,0.259
894,155,YFR042W,3,0.025,0.097,0.273
895,155,YOR067C,8,0.066,0.372,0.727
896,155,YGL226C-A,6,0.025,0.295,0.545
897,155,YOR002W,8,0.066,0.372,0.727
898,156,YKR028W,3,0.000,0.297,0.429
899,156,YJL126W,1,0.000,0.102,0.143
900,156,YIL109C,6,0.095,0.455,0.857
901,156,YJL098W,3,0.000,0.297,0.429
902,156,YNL049C,6,0.095,0.455,0.857
903,156,YFR040W,3,0.000,0.297,0.429
904,156,YGL229C,3,0.000,0.297,0.429
905,157,YBL040C,0,0.000,1.000,1.000
906,158,YPR181C,0,0.000,1.000,1.000
907,159,YDR221W,1,0.000,0.500,0.500
908,159,YNL322C,1,0.000,0.500,0.500
909,160,YGL116W,14,0.014,0.203,0.359
910,160,YPL219W,12,0.013,0.183,0.308
911,160,YLR079W,14,0.018,0.205,0.359
912,160,YER111C,13,0.026,0.156,0.333
913,160,YER059W,12,0.013,0.183,0.308
914,160,YDL056W,9,0.021,0.106,0.231
915,160,YOR083W,8,0.010,0.104,0.205
916,160,YPR120C,11,0.015,0.163,0.282
917,160,YJL187C,13,0.020,0.197,0.333
918,160,YOL001W,13,0.021,0.189,0.333
919,161,YPL216W,1,0.000,0.083,0.167
920,161,YMR044W,5,0.000,0.405,0.833
921,161,YGL133W,5,0.000,0.405,0.833
922,161,YLR095C,5,0.000,0.405,0.833
923,161,YJL065C,5,0.000,0.405,0.833
924,161,YFR013W,5,0.000,0.405,0.833
925,162,YJR057W,4,0.000,0.419,0.800
926,162,YER070W,4,0.000,0.419,0.800
927,162,YML058W-A,2,0.000,0.220,0.400
928,162,YGR180C,4,0.000,0.419,0.800
929,163,YER116C,2,0.000,0.577,1.000
930,163,YDL013W,2,0.000,0.577,1.000
931,163,YFL009W,2,0.000,0.577,1.000
932,164,YIL106W,7,0.030,0.297,0.538
933,164,YHR152W,7,0.045,0.282,0.538
934,164,YAL024C,7,0.027,0.301,0.538
935,165,YMR001C,1,0.000,0.707,1.000
936,165,YGR098C,1,0.000,0.707,1.000
937,166,YBR156C,3,0.000,0.439,0.750
938,166,YIL144W,2,0.000,0.307,0.500
939,166,YHR199C-A,3,0.000,0.439,0.750
940,166,YPL209C,4,0.167,0.510,1.000
941,166,YJR089W,4,0.167,0.510,1.000
942,167,YDR201W,12,0.013,0.118,0.353
943,167,YFR046C,8,0.011,0.095,0.235
944,167,YMR117C,9,0.015,0.088,0.265
945,167,YDR016C,12,0.014,0.130,0.353
946,167,YGR179C,15,0.014,0.222,0.441
947,167,YPL018W,16,0.019,0.232,0.471
948,167,YOL069W,9,0.020,0.100,0.265
949,167,YJR135C,14,0.019,0.206,0.412
950,167,YGL093W,9,0.009,0.081,0.265
951,168,YOR074C,0,0.000,1.000,1.000
952,169,YPL015C,0,0.000,0.000,0.000
953,169,YLR442C,1,0.000,0.707,0.500
954,169,YDL042C,1,0.000,0.707,0.500
955,170,YMR110C,0,0.000,0.408,0.000
956,170,YPL061W,0,0.000,0.408,0.000
957,170,YOR374W,0,0.000,0.408,0.000
958,170,YER073W,0,0.000,0.408,0.000
959,170,YMR169C,0,0.000,0.408,0.000
960,170,YMR170C,0,0.000,0.408,0.000
961,171,YOL059W,4,0.033,0.468,0.800
962,171,YDL022W,4,0.033,0.468,0.800
963,172,YJL102W,1,0.000,0.707,1.000
964,172,YOR187W,1,0.000,0.707,1.000
965,173,YGR193C,3,0.100,0.454,0.600
966,174,YKR087C,1,0.000,0.408,0.333
967,174,YKR066C,1,0.000,0.408,0.333
968,174,YPL246C,1,0.000,0.408,0.333
969,175,YGR231C,2,0.000,0.577,1.000
970,175,YIL114C,2,0.000,0.577,1.000
971,175,YGR132C,2,0.000,0.577,1.000
972,176,YJR077C,0,0.000,1.000,1.000
973,177,YLL006W,13,0.009,0.170,0.406
974,177,YNL026W,16,0.015,0.186,0.500
975,177,YJL143W,16,0.017,0.198,0.500
976,177,YDL217C,15,0.015,0.189,0.469
977,177,YIL022W,16,0.017,0.198,0.500
978,177,YGR082W,20,0.034,0.245,0.625
979,177,YMR056C,11,0.010,0.139,0.344
980,177,YJL104W,13,0.009,0.157,0.406
981,177,YHR083W,15,0.009,0.174,0.469
982,178,YGR264C,23,0.021,0.221,0.605
983,178,YOL033W,15,0.017,0.111,0.395
984,178,YHR020W,20,0.011,0.199,0.526
985,178,YGL245W,24,0.019,0.232,0.632
986,178,YGR094W,18,0.016,0.172,0.474
987,178,YHR011W,13,0.011,0.110,0.342
988,178,YNL073W,17,0.010,0.167,0.447
989,178,YLL018C,13,0.013,0.134,0.342
990,178,YOL097C,18,0.012,0.178,0.474
991,178,YER087W,16,0.014,0.142,0.421
992,179,YNL117W,8,0.054,0.308,0.571
993,179,YIR031C,8,0.054,0.308,0.571
994,179,YLR153C,8,0.023,0.327,0.571
995,179,YIL094C,5,0.003,0.148,0.357
996,179,YDR234W,5,0.003,0.148,0.357
997,179,YNR050C,5,0.003,0.148,0.357
998,179,YKR097W,5,0.004,0.189,0.357
999,180,YPL029W,1,0.000,0.707,1.000
1000,180,YOR017W,1,0.000,0.707,1.000
1001,181,YOR257W,1,0.000,0.707,1.000
1002,181,YOL072W,1,0.000,0.707,1.000
1003,182,YHR167W,8,0.015,0.312,0.667
1004,182,YDL084W,10,0.053,0.364,0.833
1005,182,YNL139C,10,0.053,0.364,0.833
1006,182,YPL169C,6,0.015,0.231,0.500
