,cluster,protein,degree,degree_centrality,eigenvector_centrality,betweenness_centrality
0,0,Q0010,6,0.857,0.417,0.119
1,0,Q0297,6,0.857,0.403,0.286
2,0,Q0143,6,0.857,0.417,0.119
3,1,YPL059W,11,1.000,0.303,0.009
4,1,YER048W-A,11,1.000,0.303,0.009
5,1,YKL040C,11,1.000,0.303,0.009
6,1,YPR067W,11,1.000,0.303,0.009
7,1,YCL017C,11,1.000,0.303,0.009
8,1,YPL252C,11,1.000,0.303,0.009
9,2,YMR301C,2,1.000,0.577,0.000
10,2,YGL018C,2,1.000,0.577,0.000
11,2,YDL120W,2,1.000,0.577,0.000
12,3,YOR232W,6,1.000,0.535,0.533
13,3,YFL016C,4,0.667,0.446,0.067
14,3,YJR045C,4,0.667,0.446,0.067
15,4,YAL046C,4,0.667,0.418,0.022
16,4,YAL044W-A,4,0.667,0.418,0.022
17,4,YDR098C,4,0.667,0.386,0.067
18,4,YER174C,4,0.667,0.386,0.067
19,4,YGL220W,6,1.000,0.506,0.356
20,5,YBR154C,36,0.590,0.183,0.034
21,5,YDR079C-A,33,0.541,0.179,0.017
22,5,YGL070C,32,0.525,0.180,0.008
23,5,YPR187W,35,0.574,0.186,0.021
24,5,YOR210W,35,0.574,0.182,0.027
25,5,YML010W,36,0.590,0.144,0.085
26,5,YOR151C,40,0.656,0.197,0.040
27,5,YIL021W,41,0.672,0.200,0.047
28,5,YOL005C,33,0.541,0.184,0.009
29,5,YIL143C,32,0.525,0.178,0.009
30,5,YDL140C,54,0.885,0.220,0.191
31,5,YJL140W,34,0.557,0.187,0.012
32,5,YGL043W,37,0.607,0.181,0.037
33,5,YDR404C,35,0.574,0.189,0.013
34,5,YER171W,32,0.525,0.178,0.009
35,5,YPR086W,34,0.557,0.188,0.015
36,6,YBL022C,0,1.000,1.000,0.000
37,7,YER148W,38,0.974,0.333,0.543
38,7,YGR274C,15,0.385,0.096,0.034
39,7,YNL113W,15,0.385,0.205,0.004
40,7,YPR190C,16,0.410,0.220,0.003
41,7,YOR207C,16,0.410,0.219,0.003
42,7,YOR116C,18,0.462,0.234,0.008
43,7,YGR246C,23,0.590,0.258,0.045
44,7,YPR110C,15,0.385,0.205,0.004
45,7,YNL151C,15,0.385,0.209,0.002
46,7,YDL150W,16,0.410,0.220,0.003
47,7,YNR003C,15,0.385,0.211,0.001
48,7,YNL039W,21,0.538,0.251,0.022
49,8,YGL127C,24,1.000,0.222,0.014
50,8,YNL236W,24,1.000,0.222,0.014
51,8,YLR071C,24,1.000,0.222,0.014
52,8,YOL135C,24,1.000,0.222,0.014
53,8,YDL005C,24,1.000,0.222,0.014
54,8,YDR308C,24,1.000,0.222,0.014
55,8,YBL093C,24,1.000,0.222,0.014
56,9,YGR252W,16,1.000,0.264,0.044
57,9,YPL254W,15,0.938,0.260,0.013
58,9,YHR099W,15,0.938,0.260,0.013
59,9,YCL010C,16,1.000,0.264,0.044
60,9,YDR448W,15,0.938,0.260,0.013
61,9,YDR176W,16,1.000,0.264,0.044
62,10,YDL132W,15,0.536,0.346,0.139
63,10,YJL047C,9,0.321,0.252,0.051
64,10,YOL133W,15,0.536,0.358,0.158
65,10,YLR306W,8,0.286,0.270,0.005
66,10,YPR066W,9,0.321,0.296,0.006
67,10,YDR139C,10,0.357,0.306,0.028
68,10,YDR328C,22,0.786,0.376,0.595
69,10,YDR054C,8,0.286,0.263,0.004
70,11,YHR111W,10,0.909,0.319,0.026
71,11,YLR384C,10,0.909,0.318,0.026
72,11,YGL211W,10,0.909,0.319,0.026
73,11,YPL086C,11,1.000,0.338,0.049
74,11,YGR200C,11,1.000,0.338,0.049
75,12,YPL240C,12,1.000,0.342,0.083
76,12,YDR214W,11,0.917,0.332,0.035
77,12,YMR186W,12,1.000,0.342,0.083
78,12,YKL117W,11,0.917,0.322,0.060
79,13,YOR064C,3,0.750,0.482,0.000
80,13,YPR031W,3,0.750,0.482,0.000
81,13,YPL129W,4,1.000,0.524,0.500
82,13,YLR455W,3,0.750,0.482,0.000
83,14,YML069W,3,1.000,0.557,0.167
84,14,YGL207W,3,1.000,0.557,0.167
85,15,YJR035W,2,1.000,0.707,1.000
86,16,YLR009W,145,0.721,0.092,0.010
87,16,YPR144C,138,0.687,0.091,0.003
88,16,YGR145W,152,0.756,0.097,0.004
89,16,YPL012W,143,0.711,0.093,0.004
90,16,YOR310C,144,0.716,0.093,0.005
91,16,YGR103W,172,0.856,0.103,0.013
92,16,YOR272W,164,0.816,0.101,0.008
93,16,YGL171W,140,0.697,0.094,0.002
94,16,YDR299W,143,0.711,0.093,0.006
95,16,YPL211W,139,0.692,0.088,0.007
96,16,YPL093W,146,0.726,0.093,0.006
97,16,YLL008W,152,0.756,0.095,0.011
98,16,YHR170W,141,0.701,0.091,0.009
99,16,YKL172W,154,0.766,0.096,0.006
100,16,YNL075W,145,0.721,0.094,0.004
101,16,YLR276C,142,0.706,0.092,0.005
102,16,YLR197W,144,0.716,0.093,0.005
103,16,YCR057C,153,0.761,0.097,0.015
104,16,YGR245C,146,0.726,0.094,0.007
105,16,YOL077C,155,0.771,0.095,0.017
106,16,YKL009W,148,0.736,0.094,0.007
107,16,YPR137W,148,0.736,0.095,0.007
108,16,YCL054W,161,0.801,0.099,0.009
109,16,YNL061W,153,0.761,0.096,0.006
110,16,YBR247C,152,0.756,0.097,0.005
111,16,YOR206W,159,0.791,0.099,0.007
112,16,YLR409C,143,0.711,0.092,0.004
113,16,YDR449C,145,0.721,0.096,0.003
114,16,YOR294W,154,0.766,0.096,0.006
115,16,YGL078C,148,0.736,0.091,0.009
116,16,YMR290C,158,0.786,0.099,0.007
117,16,YLR222C,149,0.741,0.095,0.007
118,16,YMR229C,143,0.711,0.093,0.004
119,16,YNL132W,144,0.716,0.094,0.004
120,16,YNL110C,157,0.781,0.097,0.006
121,16,YER006W,154,0.766,0.097,0.005
122,16,YDR496C,163,0.811,0.098,0.031
123,16,YDL060W,144,0.716,0.093,0.004
124,16,YKR081C,163,0.811,0.101,0.007
125,16,YMR049C,166,0.826,0.101,0.022
126,16,YJL033W,149,0.741,0.096,0.004
127,16,YPL043W,162,0.806,0.099,0.008
128,16,YDL148C,147,0.731,0.096,0.004
129,16,YNL308C,142,0.706,0.093,0.003
130,16,YDR398W,145,0.721,0.095,0.004
131,16,YLR129W,148,0.736,0.096,0.004
132,16,YLR002C,138,0.687,0.089,0.003
133,16,YER082C,141,0.701,0.093,0.003
134,16,YHR052W,155,0.771,0.096,0.009
135,16,YPL217C,148,0.736,0.095,0.006
136,16,YAL025C,143,0.711,0.090,0.006
137,17,YDR005C,1,0.500,0.707,0.000
138,17,YHR205W,1,0.500,0.707,0.000
139,18,YOL142W,19,0.704,0.249,0.017
140,18,YOL021C,22,0.815,0.262,0.060
141,18,YNL232W,19,0.704,0.249,0.017
142,18,YGR095C,18,0.667,0.246,0.006
143,18,YJL050W,21,0.778,0.241,0.073
144,18,YGR158C,18,0.667,0.246,0.006
145,18,YOR001W,27,1.000,0.273,0.289
146,18,YGR195W,18,0.667,0.246,0.006
147,19,YPL207W,4,1.000,0.447,0.000
148,19,YGL050W,4,1.000,0.447,0.000
149,19,YOL141W,4,1.000,0.447,0.000
150,19,YML005W,4,1.000,0.447,0.000
151,19,YHR070W,4,1.000,0.447,0.000
152,20,YKL024C,6,0.500,0.312,0.045
153,20,YKL216W,6,0.500,0.344,0.013
154,20,YEL021W,12,1.000,0.494,0.604
155,20,YML106W,6,0.500,0.344,0.013
156,21,YER005W,0,1.000,1.000,0.000
157,22,YLR245C,3,0.750,0.470,0.083
158,22,YPR062W,4,1.000,0.559,0.333
159,22,YDR400W,3,0.750,0.470,0.083
160,23,YGL189C,151,0.938,0.085,0.001
161,23,YLR388W,151,0.938,0.084,0.001
162,23,YML063W,150,0.932,0.084,0.001
163,23,YHR203C,150,0.932,0.084,0.001
164,23,YER074W,152,0.944,0.085,0.001
165,23,YPL131W,151,0.938,0.085,0.001
166,23,YNL178W,156,0.969,0.085,0.004
167,23,YER131W,150,0.932,0.084,0.001
168,23,YGR027C,151,0.938,0.085,0.001
169,23,YBR181C,151,0.938,0.084,0.001
170,23,YPL081W,150,0.932,0.084,0.001
171,23,YDR450W,150,0.932,0.084,0.001
172,23,YGR118W,152,0.944,0.085,0.002
173,23,YCR031C,152,0.944,0.085,0.002
174,23,YDR064W,153,0.950,0.085,0.002
175,23,YBR031W,150,0.932,0.084,0.002
176,23,YGL123W,155,0.963,0.085,0.004
177,23,YER102W,154,0.957,0.085,0.002
178,23,YJR123W,155,0.963,0.085,0.008
179,23,YOR167C,151,0.938,0.084,0.001
180,23,YBR048W,152,0.944,0.085,0.002
181,23,YOR096W,151,0.938,0.084,0.002
182,23,YLR264W,151,0.938,0.084,0.001
183,23,YLR340W,151,0.938,0.084,0.003
184,23,YML026C,153,0.950,0.085,0.002
185,23,YML024W,153,0.950,0.085,0.002
186,23,YIL069C,150,0.932,0.084,0.001
187,23,YDR025W,150,0.932,0.084,0.001
188,23,YLR441C,154,0.957,0.085,0.002
189,23,YOL040C,155,0.963,0.085,0.002
190,23,YDR447C,152,0.944,0.085,0.002
191,23,YGR214W,152,0.944,0.085,0.002
192,23,YOR369C,152,0.944,0.085,0.002
193,23,YPR132W,150,0.932,0.084,0.001
194,23,YJR145C,153,0.950,0.085,0.002
195,23,YBL072C,153,0.950,0.085,0.002
196,23,YMR143W,152,0.944,0.085,0.002
197,23,YPL090C,152,0.944,0.085,0.002
198,23,YMR116C,156,0.969,0.086,0.004
199,23,YKR057W,150,0.932,0.084,0.001
200,23,YJL190C,154,0.957,0.085,0.002
201,23,YDL083C,152,0.944,0.085,0.002
202,23,YOR063W,151,0.938,0.084,0.004
203,23,YOR293W,151,0.938,0.085,0.001
204,23,YHL015W,155,0.963,0.085,0.002
205,23,YJL191W,150,0.932,0.084,0.001
206,24,YDR061W,2,1.000,0.707,1.000
207,25,YBR118W,1,1.000,0.707,0.000
208,25,YGR211W,1,1.000,0.707,0.000
209,26,YJR113C,70,0.854,0.131,0.006
210,26,YKL003C,75,0.915,0.137,0.009
211,26,YEL050C,70,0.854,0.131,0.006
212,26,YPL013C,75,0.915,0.137,0.010
213,26,YCR003W,68,0.829,0.129,0.004
214,26,YPR166C,72,0.878,0.135,0.006
215,26,YNL306W,69,0.841,0.131,0.005
216,26,YNR037C,71,0.866,0.132,0.007
217,26,YNL137C,69,0.841,0.129,0.007
218,26,YJL063C,71,0.866,0.132,0.006
219,26,YDR041W,68,0.829,0.127,0.006
220,26,YCR046C,70,0.854,0.130,0.007
221,26,YBL038W,70,0.854,0.131,0.007
222,26,YBR146W,74,0.902,0.136,0.008
223,26,YER050C,70,0.854,0.132,0.005
224,26,YGL129C,73,0.890,0.135,0.008
225,26,YBR251W,75,0.915,0.136,0.033
226,26,YDR337W,74,0.902,0.136,0.008
227,26,YNL005C,70,0.854,0.130,0.006
228,26,YMR158W,72,0.878,0.133,0.008
229,26,YGR220C,71,0.866,0.132,0.016
230,26,YOR150W,69,0.841,0.131,0.004
231,26,YLR439W,68,0.829,0.129,0.005
232,26,YPL183W-A,68,0.829,0.128,0.007
233,27,YER025W,3,1.000,0.500,0.000
234,27,YPR041W,3,1.000,0.500,0.000
235,27,YJR007W,3,1.000,0.500,0.000
236,27,YPL237W,3,1.000,0.500,0.000
237,28,YLR167W,3,0.600,0.491,0.050
238,28,YLL039C,5,1.000,0.604,0.750
239,29,YJR064W,0,1.000,1.000,0.000
240,30,YPR080W,0,1.000,1.000,0.000
241,31,YJL111W,6,1.000,0.378,0.000
242,31,YDL143W,6,1.000,0.378,0.000
243,31,YJL014W,6,1.000,0.378,0.000
244,31,YJL008C,6,1.000,0.378,0.000
245,31,YIL142W,6,1.000,0.378,0.000
246,31,YDR188W,6,1.000,0.378,0.000
247,31,YDR212W,6,1.000,0.378,0.000
248,32,YLR038C,32,0.667,0.181,0.033
249,32,YBL045C,35,0.729,0.192,0.026
250,32,Q0105,37,0.771,0.195,0.050
251,32,Q0250,34,0.708,0.182,0.032
252,32,YPR191W,38,0.792,0.203,0.029
253,32,YJL166W,37,0.771,0.201,0.036
254,32,YOR065W,38,0.792,0.201,0.048
255,32,YGR183C,35,0.729,0.198,0.013
256,32,YGL187C,34,0.708,0.190,0.017
257,32,YHR051W,35,0.729,0.183,0.047
258,32,YDR529C,36,0.750,0.199,0.019
259,32,YEL024W,37,0.771,0.201,0.023
260,32,YFR033C,35,0.729,0.197,0.015
261,33,YPL172C,5,0.833,0.558,0.500
262,33,YER141W,4,0.667,0.515,0.167
263,34,YLR067C,0,1.000,1.000,0.000
264,35,YML129C,4,0.800,0.440,0.000
265,35,YLR203C,4,0.800,0.440,0.000
266,35,YGR112W,5,1.000,0.462,0.400
267,35,YIL157C,4,0.800,0.440,0.000
268,35,YJL062W-A,4,0.800,0.440,0.000
269,36,Q0115,3,1.000,0.557,0.167
270,36,Q0075,3,1.000,0.557,0.167
271,37,YBL099W,28,0.903,0.223,0.052
272,37,YJR121W,29,0.935,0.227,0.061
273,37,YDR298C,27,0.871,0.222,0.022
274,37,YDL004W,27,0.871,0.219,0.026
275,37,YPL271W,27,0.871,0.218,0.026
276,37,YKL016C,27,0.871,0.222,0.022
277,37,YPL078C,27,0.871,0.218,0.027
278,37,YBR039W,26,0.839,0.215,0.019
279,38,Q0055,1,1.000,0.707,0.000
280,38,Q0110,1,1.000,0.707,0.000
281,39,YLL018C-A,3,1.000,0.557,0.167
282,39,YLL009C,3,1.000,0.557,0.167
283,40,YDL069C,1,1.000,0.707,0.000
284,40,YDR197W,1,1.000,0.707,0.000
285,41,YPL215W,2,1.000,0.707,1.000
286,42,YGR062C,2,1.000,0.577,0.000
287,42,YDL107W,2,1.000,0.577,0.000
288,42,YOR266W,2,1.000,0.577,0.000
289,43,YEL059C-A,1,1.000,0.707,0.000
290,43,YDR231C,1,1.000,0.707,0.000
291,44,YDR296W,1,1.000,0.707,0.000
292,44,YKL011C,1,1.000,0.707,0.000
293,45,YNL206C,14,0.467,0.188,0.028
294,45,YML102W,14,0.467,0.198,0.027
295,45,YBR010W,28,0.933,0.331,0.234
296,45,YJL115W,21,0.700,0.282,0.090
297,45,YDR224C,14,0.467,0.217,0.012
298,45,YNL031C,26,0.867,0.318,0.167
299,45,YBR009C,23,0.767,0.308,0.082
300,45,YNL030W,15,0.500,0.221,0.019
301,46,YBR166C,0,1.000,1.000,0.000
302,47,YMR033W,23,1.000,0.257,0.062
303,47,YGR275W,23,1.000,0.257,0.062
304,47,YLR357W,20,0.870,0.243,0.018
305,47,YIL126W,19,0.826,0.234,0.014
306,47,YGR056W,20,0.870,0.243,0.018
307,47,YPR034W,23,1.000,0.257,0.062
308,47,YCR052W,19,0.826,0.235,0.013
309,47,YFR037C,19,0.826,0.234,0.014
310,48,YCR053W,4,1.000,0.447,0.000
311,48,YER052C,4,1.000,0.447,0.000
312,48,YDR158W,4,1.000,0.447,0.000
313,48,YJR139C,4,1.000,0.447,0.000
314,48,YHR025W,4,1.000,0.447,0.000
315,49,YAL043C,18,0.545,0.240,0.007
316,49,YKL059C,18,0.545,0.240,0.007
317,49,YGL044C,18,0.545,0.240,0.007
318,49,YDR228C,18,0.545,0.240,0.007
319,49,YLR115W,18,0.545,0.240,0.007
320,49,YLR277C,18,0.545,0.240,0.007
321,49,YDR301W,18,0.545,0.240,0.007
322,49,YPR107C,18,0.545,0.240,0.007
323,49,YER133W,31,0.939,0.236,0.596
324,50,YPL138C,6,1.000,0.378,0.000
325,50,YBR175W,6,1.000,0.378,0.000
326,50,YLR015W,6,1.000,0.378,0.000
327,50,YHR119W,6,1.000,0.378,0.000
328,50,YDR469W,6,1.000,0.378,0.000
329,50,YBR258C,6,1.000,0.378,0.000
330,50,YAR003W,6,1.000,0.378,0.000
331,51,YFL013C,19,0.260,0.184,0.001
332,51,YOR189W,19,0.260,0.183,0.001
333,51,YFL039C,64,0.877,0.334,0.593
334,51,YGL150C,21,0.288,0.194,0.003
335,51,YNL107W,28,0.384,0.238,0.013
336,51,YNL059C,17,0.233,0.159,0.002
337,51,YLL050C,20,0.274,0.069,0.016
338,51,YNL243W,17,0.233,0.062,0.040
339,51,YOR181W,27,0.370,0.086,0.049
340,51,YCR088W,21,0.288,0.075,0.020
341,51,YDR485C,20,0.274,0.194,0.002
342,51,YLR399C,17,0.233,0.175,0.000
343,51,YLR052W,20,0.274,0.192,0.001
344,51,YLR085C,17,0.233,0.172,0.001
345,51,YDL002C,19,0.260,0.184,0.001
346,51,YML041C,17,0.233,0.175,0.000
347,51,YLR337C,18,0.247,0.066,0.027
348,51,YDR334W,22,0.301,0.206,0.005
349,51,YDL029W,29,0.397,0.090,0.046
350,51,YGR002C,26,0.356,0.224,0.010
351,51,YDR129C,23,0.315,0.079,0.019
352,51,YJR065C,17,0.233,0.065,0.010
353,51,YJL081C,30,0.411,0.248,0.018
354,52,YMR213W,61,0.656,0.127,0.020
355,52,YFL017W-A,80,0.860,0.159,0.021
356,52,YER172C,73,0.785,0.148,0.019
357,52,YOR319W,64,0.688,0.135,0.009
358,52,YMR240C,69,0.742,0.144,0.011
359,52,YPL213W,78,0.839,0.158,0.018
360,52,YPR094W,61,0.656,0.131,0.007
361,52,YPR182W,79,0.849,0.159,0.019
362,52,YDR416W,61,0.656,0.130,0.009
363,52,YDL043C,71,0.763,0.148,0.012
364,52,YLR275W,79,0.849,0.159,0.019
365,52,YGR074W,71,0.763,0.145,0.034
366,52,YLR117C,69,0.742,0.141,0.016
367,52,YHR165C,74,0.796,0.149,0.021
368,52,YDL030W,62,0.667,0.133,0.007
369,52,YOR308C,64,0.688,0.129,0.014
370,52,YJL203W,66,0.710,0.138,0.010
371,52,YKL173W,78,0.839,0.155,0.027
372,52,YLR147C,79,0.849,0.159,0.019
373,52,YML049C,69,0.742,0.144,0.011
374,52,YMR288W,74,0.796,0.151,0.015
375,52,YOR159C,76,0.817,0.154,0.018
376,52,YIR009W,65,0.699,0.137,0.009
377,52,YER029C,77,0.828,0.154,0.021
378,53,YOR184W,1,1.000,0.707,0.000
379,53,YGR208W,1,1.000,0.707,0.000
380,54,YPL178W,2,1.000,0.707,1.000
381,55,YGL163C,28,0.491,0.202,0.015
382,55,YKL113C,26,0.456,0.188,0.014
383,55,YHR164C,25,0.439,0.175,0.027
384,55,YDR004W,23,0.404,0.174,0.009
385,55,YBR136W,33,0.579,0.220,0.034
386,55,YMR190C,44,0.772,0.261,0.123
387,55,YAR007C,28,0.491,0.187,0.059
388,55,YER095W,42,0.737,0.258,0.103
389,55,YPL022W,30,0.526,0.193,0.063
390,55,YPL153C,25,0.439,0.169,0.017
391,55,YJL092W,29,0.509,0.193,0.030
392,55,YML032C,38,0.667,0.248,0.048
393,55,YDR386W,33,0.579,0.210,0.053
394,55,YOR033C,32,0.561,0.217,0.060
395,55,YDR217C,26,0.456,0.174,0.037
396,56,YMR061W,1,1.000,0.707,0.000
397,56,YBL051C,1,1.000,0.707,0.000
398,57,YOR048C,2,1.000,0.707,1.000
399,58,YJL168C,0,1.000,1.000,0.000
400,59,YLR438W,6,1.000,0.415,0.067
401,59,YOR323C,6,1.000,0.415,0.067
402,59,YHR037W,6,1.000,0.415,0.067
403,60,YER125W,17,0.944,0.590,0.843
404,60,YKR021W,3,0.167,0.242,0.000
405,60,YMR275C,3,0.167,0.249,0.000
406,60,YJL084C,4,0.222,0.277,0.010
407,60,YOR322C,8,0.444,0.405,0.154
408,60,YOR018W,3,0.167,0.242,0.000
409,61,YGL058W,3,1.000,0.612,0.667
410,62,YBR058C,4,0.571,0.474,0.095
411,62,YOR124C,6,0.857,0.542,0.619
412,63,YJL002C,10,0.909,0.319,0.010
413,63,YOR103C,10,0.909,0.319,0.010
414,63,YDL232W,10,0.909,0.319,0.010
415,63,YEL002C,10,0.909,0.319,0.010
416,63,YLR378C,11,1.000,0.323,0.192
417,63,YGL022W,10,0.909,0.319,0.010
418,64,YOR265W,8,0.800,0.361,0.039
419,64,YML085C,8,0.800,0.334,0.106
420,64,YFL037W,9,0.900,0.368,0.162
421,64,YOR349W,8,0.800,0.361,0.039
422,64,YML124C,8,0.800,0.345,0.082
423,65,YOR262W,1,1.000,0.707,0.000
424,65,YDR527W,1,1.000,0.707,0.000
425,66,YKL008C,12,0.923,0.343,0.117
426,66,YLR260W,10,0.769,0.318,0.042
427,66,YHL003C,12,0.923,0.343,0.117
428,66,YDR297W,11,0.846,0.330,0.078
429,66,YOR171C,10,0.769,0.318,0.042
430,67,YDL114W,1,1.000,0.707,0.000
431,67,YDR541C,1,1.000,0.707,0.000
432,68,YJL100W,7,0.438,0.320,0.001
433,68,YPL268W,7,0.438,0.320,0.001
434,68,YOR109W,7,0.438,0.320,0.001
435,68,YKL212W,16,1.000,0.442,0.697
436,68,YNL267W,8,0.500,0.334,0.026
437,68,YNL106C,7,0.438,0.320,0.001
438,69,YGR284C,9,0.333,0.253,0.030
439,69,YKL073W,11,0.407,0.285,0.041
440,69,YAL058W,12,0.444,0.304,0.066
441,69,YCL043C,13,0.481,0.312,0.059
442,69,YML130C,10,0.370,0.236,0.088
443,69,YJL034W,24,0.889,0.436,0.536
444,69,YOR254C,11,0.407,0.276,0.036
445,70,YLR024C,2,1.000,0.707,1.000
446,71,YML007W,2,1.000,0.577,0.000
447,71,YIR037W,2,1.000,0.577,0.000
448,71,YBR216C,2,1.000,0.577,0.000
449,72,YOR117W,39,0.886,0.170,0.007
450,72,YGR253C,39,0.886,0.165,0.027
451,72,YGR135W,39,0.886,0.165,0.027
452,72,YDR394W,38,0.864,0.167,0.005
453,72,YOR261C,38,0.864,0.167,0.005
454,72,YDL007W,39,0.886,0.170,0.007
455,72,YHR200W,39,0.886,0.170,0.007
456,72,YKL145W,39,0.886,0.170,0.007
457,72,YDL147W,39,0.886,0.170,0.007
458,72,YER012W,39,0.886,0.167,0.017
459,72,YLR421C,38,0.864,0.167,0.005
460,72,YGL048C,39,0.886,0.170,0.007
461,72,YOR259C,39,0.886,0.170,0.007
462,72,YHR027C,38,0.864,0.167,0.005
463,73,YJR066W,10,0.833,0.302,0.037
464,73,YHR186C,10,0.833,0.302,0.037
465,73,YJL058C,10,0.833,0.315,0.016
466,73,YNL006W,10,0.833,0.315,0.016
467,73,YOL078W,10,0.833,0.315,0.016
468,73,YMR068W,10,0.833,0.315,0.016
469,73,YER093C,10,0.833,0.315,0.016
470,73,YKL203C,11,0.917,0.324,0.081
471,74,YDR466W,1,1.000,0.707,0.000
472,74,YBL105C,1,1.000,0.707,0.000
473,75,YCR021C,2,1.000,0.577,0.000
474,75,YCR027C,2,1.000,0.577,0.000
475,75,YNL270C,2,1.000,0.577,0.000
476,76,YDL047W,0,1.000,1.000,0.000
477,77,YIL153W,12,0.571,0.296,0.019
478,77,YDL188C,12,0.571,0.290,0.026
479,77,YDL134C,14,0.667,0.311,0.074
480,77,YGL190C,17,0.810,0.306,0.360
481,77,YPL152W,12,0.571,0.296,0.019
482,77,YAL016W,16,0.762,0.333,0.116
483,78,YDR211W,5,0.833,0.405,0.000
484,78,YOR260W,5,0.833,0.405,0.000
485,78,YDR283C,5,0.833,0.405,0.000
486,78,YGR083C,5,0.833,0.405,0.000
487,78,YKR026C,5,0.833,0.405,0.000
488,78,YLR291C,6,1.000,0.418,0.333
489,79,YGR249W,0,0.000,0.500,0.000
490,79,YGL073W,0,0.000,0.500,0.000
491,79,YJR147W,0,0.000,0.500,0.000
492,79,YHR206W,0,0.000,0.500,0.000
493,80,YGL180W,16,0.667,0.330,0.073
494,80,YNL223W,11,0.458,0.257,0.017
495,80,YPL149W,11,0.458,0.264,0.010
496,80,YBL078C,19,0.792,0.308,0.342
497,80,YOL082W,12,0.500,0.228,0.085
498,80,YBR217W,11,0.458,0.260,0.011
499,80,YDL149W,15,0.625,0.309,0.058
500,80,YPR049C,17,0.708,0.312,0.140
501,81,YKL033W,7,0.778,0.406,0.084
502,81,YPL235W,7,0.778,0.396,0.114
503,81,YDR190C,8,0.889,0.427,0.195
504,82,YML121W,4,1.000,0.510,0.167
505,82,YGR163W,4,1.000,0.510,0.167
506,83,YOL139C,6,1.000,0.645,0.867
507,83,YPL119C,2,0.333,0.347,0.000
508,83,YOR276W,2,0.333,0.347,0.000
509,83,YOR204W,2,0.333,0.347,0.000
510,83,YCL037C,2,0.333,0.347,0.000
511,84,YMR104C,1,1.000,0.707,0.000
512,84,YMR103C,1,1.000,0.707,0.000
513,85,YMR106C,6,1.000,0.405,0.033
514,85,YMR284W,6,1.000,0.405,0.033
515,85,YCR014C,6,1.000,0.405,0.033
516,85,YOR005C,6,1.000,0.405,0.033
517,86,YNL135C,4,1.000,0.636,0.833
518,86,YGR037C,2,0.500,0.473,0.000
519,86,YLR179C,2,0.500,0.473,0.000
520,87,YHR030C,6,0.857,0.439,0.194
521,87,YPL089C,6,0.857,0.435,0.187
522,88,YNR056C,6,1.000,0.490,0.222
523,88,YNR058W,6,1.000,0.490,0.222
524,89,YER014W,8,0.889,0.357,0.222
525,89,YDR232W,7,0.778,0.351,0.000
526,89,YOR278W,7,0.778,0.351,0.000
527,89,YDR047W,7,0.778,0.351,0.000
528,89,YOR176W,7,0.778,0.351,0.000
529,89,YDL205C,7,0.778,0.351,0.000
530,89,YGL040C,7,0.778,0.351,0.000
531,89,YDR044W,8,0.889,0.357,0.222
532,90,YIL003W,6,1.000,0.392,0.013
533,90,YIL128W,6,1.000,0.392,0.013
534,90,YGL091C,6,1.000,0.392,0.013
535,90,YHR122W,6,1.000,0.392,0.013
536,90,YNL240C,6,1.000,0.392,0.013
537,91,YBL014C,6,1.000,0.378,0.000
538,91,YML043C,6,1.000,0.378,0.000
539,91,YOR295W,6,1.000,0.378,0.000
540,91,YLR141W,6,1.000,0.378,0.000
541,91,YBL025W,6,1.000,0.378,0.000
542,91,YJL025W,6,1.000,0.378,0.000
543,91,YMR270C,6,1.000,0.378,0.000
544,92,YEL009C,2,1.000,0.707,1.000
545,93,YER110C,10,0.769,0.308,0.039
546,93,YBR017C,10,0.769,0.316,0.032
547,93,YGL241W,10,0.769,0.310,0.033
548,93,YLR347C,11,0.846,0.338,0.041
