,cluster,protein,degree,degree_centrality,eigenvector_centrality,betweenness_centrality
549,93,YMR308C,10,0.769,0.308,0.039
550,94,YOL012C,0,1.000,1.000,0.000
551,95,YBR019C,6,1.000,0.405,0.033
552,95,YML051W,6,1.000,0.405,0.033
553,95,YBR020W,6,1.000,0.405,0.033
554,95,YDR009W,6,1.000,0.405,0.033
555,96,YLR244C,3,1.000,0.612,0.667
556,97,YHR013C,8,0.727,0.358,0.085
557,97,YEL053C,8,0.727,0.364,0.094
558,97,YPR131C,8,0.727,0.351,0.185
559,97,YPR051W,8,0.727,0.364,0.094
560,97,YOR253W,8,0.727,0.358,0.085
561,98,YGL195W,4,0.667,0.428,0.367
562,98,YDR152W,5,0.833,0.554,0.400
563,99,YJL180C,2,1.000,0.707,1.000
564,100,YOL027C,1,1.000,0.707,0.000
565,100,YER154W,1,1.000,0.707,0.000
566,101,YFL036W,3,1.000,0.707,1.000
567,102,YLR393W,1,1.000,0.707,0.000
568,102,YNR020C,1,1.000,0.707,0.000
569,103,YOR270C,5,0.714,0.521,0.476
570,103,YLR447C,5,0.714,0.487,0.524
571,104,YGR060W,20,0.800,0.244,0.023
572,104,YHR007C,21,0.840,0.238,0.135
573,104,YHR190W,23,0.920,0.268,0.046
574,104,YHR072W,21,0.840,0.255,0.027
575,104,YGR175C,22,0.880,0.261,0.038
576,104,YML126C,21,0.840,0.249,0.034
577,104,YGL001C,18,0.720,0.228,0.011
578,105,YDL090C,7,0.700,0.397,0.133
579,105,YMR274C,6,0.600,0.331,0.050
580,105,YKL019W,9,0.900,0.456,0.361
581,106,YLR201C,9,0.750,0.321,0.004
582,106,YML110C,9,0.750,0.321,0.004
583,106,YBR003W,9,0.750,0.321,0.004
584,106,YOL096C,10,0.833,0.325,0.171
585,106,YNR041C,9,0.750,0.305,0.040
586,106,YGL119W,9,0.750,0.305,0.040
587,106,YGR255C,10,0.833,0.325,0.171
588,106,YOR125C,10,0.833,0.332,0.060
589,106,YDR204W,9,0.750,0.321,0.004
590,107,YOR156C,8,0.800,0.331,0.000
591,107,YDR390C,8,0.800,0.331,0.000
592,107,YPL020C,10,1.000,0.342,0.356
593,107,YIL031W,8,0.800,0.331,0.000
594,107,YEL019C,8,0.800,0.331,0.000
595,107,YDR409W,8,0.800,0.331,0.000
596,107,YDL064W,8,0.800,0.331,0.000
597,107,YDR510W,8,0.800,0.331,0.000
598,107,YPR180W,8,0.800,0.331,0.000
599,108,YIL115C,28,0.778,0.202,0.027
600,108,YDL116W,26,0.722,0.196,0.009
601,108,YBL079W,27,0.750,0.197,0.033
602,108,YLR335W,33,0.917,0.209,0.138
603,108,YGL172W,26,0.722,0.202,0.004
604,108,YGR119C,26,0.722,0.201,0.005
605,108,YKR082W,29,0.806,0.213,0.016
606,108,YDL088C,27,0.750,0.202,0.013
607,108,YFR002W,29,0.806,0.210,0.031
608,108,YGL092W,28,0.778,0.209,0.011
609,108,YJL039C,26,0.722,0.199,0.007
610,108,YOR098C,30,0.833,0.212,0.030
611,108,YJL041W,28,0.778,0.194,0.040
612,109,YBR082C,2,1.000,0.577,0.000
613,109,YDR177W,2,1.000,0.577,0.000
614,109,YDR059C,2,1.000,0.577,0.000
615,110,YBR088C,0,1.000,1.000,0.000
616,111,YDR451C,3,0.750,0.470,0.083
617,111,YMR043W,4,1.000,0.559,0.333
618,111,YML027W,3,0.750,0.470,0.083
619,112,YJL074C,14,0.875,0.320,0.095
620,112,YFL008W,13,0.812,0.306,0.070
621,112,YLR383W,13,0.812,0.308,0.071
622,112,YDL003W,13,0.812,0.312,0.054
623,112,YOL034W,13,0.812,0.308,0.071
624,113,YJL141C,2,1.000,0.707,1.000
625,114,YPL181W,19,0.760,0.242,0.010
626,114,YOL004W,21,0.840,0.240,0.074
627,114,YCR033W,19,0.760,0.213,0.061
628,114,YNL330C,22,0.880,0.254,0.060
629,114,YKR029C,19,0.760,0.227,0.046
630,114,YGL194C,20,0.800,0.224,0.072
631,114,YPL139C,20,0.800,0.248,0.017
632,114,YNL097C,19,0.760,0.241,0.012
633,114,YDR207C,21,0.840,0.251,0.038
634,114,YIL084C,19,0.760,0.241,0.012
635,114,YDL076C,19,0.760,0.242,0.010
636,115,YIL073C,8,0.400,0.259,0.041
637,115,YHL022C,17,0.850,0.415,0.482
638,115,YDR285W,8,0.400,0.228,0.091
639,115,YFL003C,11,0.550,0.356,0.061
640,115,YDL154W,10,0.500,0.331,0.044
641,115,YER179W,8,0.400,0.254,0.029
642,116,YNL262W,44,0.772,0.173,0.020
643,116,YEL032W,52,0.912,0.194,0.034
644,116,YGL201C,48,0.842,0.187,0.020
645,116,YNL102W,45,0.789,0.172,0.026
646,116,YPR019W,53,0.930,0.196,0.042
647,116,YBR202W,51,0.895,0.194,0.027
648,116,YBL035C,44,0.772,0.171,0.022
649,116,YJL194W,45,0.789,0.178,0.016
650,116,YLR274W,52,0.912,0.194,0.034
651,116,YPR135W,40,0.702,0.160,0.024
652,116,YIR008C,41,0.719,0.165,0.016
653,116,YKL045W,40,0.702,0.160,0.015
654,116,YBL023C,51,0.895,0.191,0.033
655,116,YPR175W,41,0.719,0.168,0.012
656,116,YLR103C,46,0.807,0.182,0.016
657,117,YOR185C,1,1.000,0.707,0.000
658,117,YLR293C,1,1.000,0.707,0.000
659,118,YDR325W,10,0.833,0.300,0.012
660,118,YNL088W,10,0.833,0.300,0.012
661,118,YDL028C,12,1.000,0.330,0.061
662,118,YGR188C,10,0.833,0.285,0.037
663,118,YEL061C,11,0.917,0.317,0.032
664,118,YBL063W,10,0.833,0.300,0.012
665,118,YJL030W,12,1.000,0.330,0.061
666,118,YJL013C,10,0.833,0.285,0.037
667,119,YEL012W,1,1.000,0.707,0.000
668,119,YKL210W,1,1.000,0.707,0.000
669,120,YBL104C,8,0.571,0.343,0.011
670,120,YLR208W,14,1.000,0.400,0.586
671,120,YEL062W,8,0.571,0.343,0.011
672,120,YDR128W,8,0.571,0.343,0.011
673,121,YLR247C,1,1.000,0.707,0.000
674,121,YDR092W,1,1.000,0.707,0.000
675,122,YML011C,1,1.000,0.707,0.000
676,122,YDR314C,1,1.000,0.707,0.000
677,123,YNL021W,2,1.000,0.577,0.000
678,123,YDR295C,2,1.000,0.577,0.000
679,123,YPR179C,2,1.000,0.577,0.000
680,124,YOL149W,7,0.778,0.400,0.114
681,124,YNL118C,6,0.667,0.380,0.017
682,124,YJL124C,6,0.667,0.380,0.017
683,124,YGL173C,6,0.667,0.380,0.017
684,124,YMR080C,6,0.667,0.341,0.389
685,124,YEL015W,7,0.778,0.400,0.114
686,125,YDR091C,2,1.000,0.577,0.000
687,125,YJR067C,2,1.000,0.577,0.000
688,125,YNL260C,2,1.000,0.577,0.000
689,126,YLL026W,3,0.750,0.557,0.083
690,126,YNL007C,3,0.750,0.557,0.083
691,127,YKL106W,9,0.900,0.365,0.231
692,127,YAL062W,7,0.700,0.364,0.011
693,127,YOR375C,7,0.700,0.364,0.011
694,127,YDL215C,7,0.700,0.364,0.011
695,127,YLR027C,9,0.900,0.365,0.231
696,128,YBR196C,14,0.933,0.302,0.042
697,128,YCR012W,14,0.933,0.302,0.041
698,128,YDR050C,13,0.867,0.279,0.041
699,128,YKL060C,13,0.867,0.286,0.030
700,128,YKL152C,14,0.933,0.302,0.042
701,129,YFL030W,2,1.000,0.707,1.000
702,130,YHR018C,6,1.000,0.415,0.067
703,130,YMR062C,6,1.000,0.415,0.067
704,130,YER069W,6,1.000,0.415,0.067
705,131,YPL262W,3,1.000,0.557,0.167
706,131,YOR142W,3,1.000,0.557,0.167
707,132,YGL148W,8,0.571,0.389,0.044
708,132,YDR035W,5,0.357,0.297,0.000
709,132,YPR060C,8,0.571,0.389,0.044
710,132,YDR127W,5,0.357,0.297,0.000
711,132,YBR249C,5,0.357,0.297,0.000
712,132,YER090W,5,0.357,0.241,0.027
713,132,YKL211C,14,1.000,0.473,0.648
714,133,YCL030C,3,1.000,0.557,0.167
715,133,YIL116W,3,1.000,0.557,0.167
716,134,YGL026C,0,1.000,1.000,0.000
717,135,YMR300C,1,1.000,0.707,0.000
718,135,YGR061C,1,1.000,0.707,0.000
719,136,YKL109W,3,1.000,0.500,0.000
720,136,YBL021C,3,1.000,0.500,0.000
721,136,YOR358W,3,1.000,0.500,0.000
722,136,YGL237C,3,1.000,0.500,0.000
723,137,YIR027C,3,1.000,0.612,0.667
724,138,YEL026W,0,1.000,1.000,0.000
725,139,YKR084C,0,1.000,1.000,0.000
726,140,YJR010W,9,0.900,0.397,0.533
727,140,YPR167C,7,0.700,0.402,0.061
728,140,YKL001C,7,0.700,0.402,0.061
729,141,YNL103W,4,1.000,0.479,0.056
730,141,YIR017C,4,1.000,0.479,0.056
731,141,YJR060W,4,1.000,0.479,0.056
732,142,YER091C,10,0.833,0.299,0.064
733,142,YLR303W,10,0.833,0.318,0.008
734,142,YML082W,10,0.833,0.318,0.008
735,142,YER043C,12,1.000,0.328,0.250
736,142,YAL012W,10,0.833,0.318,0.008
737,142,YLL058W,10,0.833,0.318,0.008
738,143,YLR092W,2,1.000,0.577,0.000
739,143,YGR125W,2,1.000,0.577,0.000
740,143,YBR294W,2,1.000,0.577,0.000
741,144,YKR069W,0,1.000,1.000,0.000
742,145,YGR093W,1,1.000,0.707,0.000
743,145,YKL149C,1,1.000,0.707,0.000
744,146,YJL216C,3,0.300,0.297,0.117
745,146,YLR300W,3,0.300,0.303,0.011
746,146,YIL099W,4,0.400,0.308,0.085
747,146,YIL162W,8,0.800,0.579,0.696
748,146,YOL157C,3,0.300,0.297,0.117
749,147,YBR299W,4,1.000,0.510,0.167
750,147,YGR292W,4,1.000,0.510,0.167
751,148,YMR099C,5,0.714,0.429,0.032
752,148,YFR053C,7,1.000,0.477,0.508
753,148,YCL040W,5,0.714,0.429,0.032
754,149,YEL011W,4,1.000,0.510,0.167
755,149,YER067W,4,1.000,0.510,0.167
756,150,YJR094C,2,1.000,0.707,1.000
757,151,YJL137C,3,0.375,0.315,0.000
758,151,YHL012W,6,0.750,0.482,0.143
759,151,YKL035W,8,1.000,0.530,0.607
760,151,YPR160W,3,0.375,0.315,0.000
761,151,YGR032W,3,0.375,0.315,0.000
762,151,YMR306W,3,0.375,0.315,0.000
763,152,YML128C,33,0.767,0.302,0.230
764,152,YGR248W,29,0.674,0.290,0.093
765,152,YHR087W,17,0.395,0.215,0.015
766,152,YDR070C,14,0.326,0.190,0.005
767,152,YMR250W,28,0.651,0.287,0.111
768,152,YDL204W,15,0.349,0.200,0.015
769,152,YML100W,19,0.442,0.215,0.059
770,152,YOR173W,29,0.674,0.284,0.110
771,152,YOL052C-A,17,0.395,0.214,0.020
772,152,YLR178C,27,0.628,0.285,0.057
773,152,YMR105C,24,0.558,0.251,0.106
774,153,YER008C,11,0.579,0.293,0.005
775,153,YIL068C,11,0.579,0.291,0.014
776,153,YBR102C,11,0.579,0.288,0.014
777,153,YPR055W,12,0.632,0.308,0.019
778,153,YLR166C,11,0.579,0.293,0.005
779,153,YJL085W,11,0.579,0.288,0.014
780,153,YFL005W,18,0.947,0.313,0.591
781,153,YDR166C,11,0.579,0.291,0.014
782,153,YGL233W,12,0.632,0.308,0.019
783,154,YDL126C,24,0.889,0.350,0.365
784,154,YOL013C,12,0.444,0.247,0.040
785,154,YGR048W,18,0.667,0.320,0.072
786,154,YMR022W,11,0.407,0.236,0.035
787,154,YML013W,15,0.556,0.290,0.041
788,154,YBR201W,11,0.407,0.244,0.003
789,154,YLR207W,11,0.407,0.244,0.003
790,154,YBR170C,19,0.704,0.326,0.140
791,155,YOR067C,8,0.727,0.372,0.066
792,155,YGR227W,9,0.818,0.384,0.182
793,155,YOR002W,8,0.727,0.372,0.066
794,156,YIL109C,6,0.857,0.455,0.095
795,156,YHR098C,7,1.000,0.473,0.381
796,156,YNL049C,6,0.857,0.455,0.095
797,157,YBL040C,0,1.000,1.000,0.000
798,158,YPR181C,0,1.000,1.000,0.000
799,159,YBR229C,2,1.000,0.707,1.000
800,160,YGL116W,14,0.359,0.203,0.014
801,160,YPL256C,13,0.333,0.204,0.027
802,160,YPL031C,19,0.487,0.258,0.085
803,160,YLR079W,14,0.359,0.205,0.018
804,160,YER111C,13,0.333,0.156,0.026
805,160,YGR108W,14,0.359,0.228,0.029
806,160,YPR119W,15,0.385,0.212,0.042
807,160,YBR135W,16,0.410,0.245,0.033
808,160,YLR182W,13,0.333,0.147,0.043
809,160,YBR160W,32,0.821,0.387,0.379
810,160,YJL187C,13,0.333,0.197,0.020
811,160,YOL001W,13,0.333,0.189,0.021
812,161,YMR044W,5,0.833,0.405,0.000
813,161,YGL133W,5,0.833,0.405,0.000
814,161,YLR095C,5,0.833,0.405,0.000
815,161,YJL065C,5,0.833,0.405,0.000
816,161,YDR121W,6,1.000,0.418,0.333
817,161,YFR013W,5,0.833,0.405,0.000
818,162,YIL066C,5,1.000,0.461,0.150
819,162,YJL026W,5,1.000,0.461,0.150
820,163,YER116C,2,1.000,0.577,0.000
821,163,YDL013W,2,1.000,0.577,0.000
822,163,YFL009W,2,1.000,0.577,0.000
823,164,YAR019C,9,0.692,0.361,0.071
824,164,YML064C,9,0.692,0.361,0.071
825,164,YFR028C,12,0.923,0.402,0.315
826,164,YGR092W,8,0.615,0.344,0.021
827,165,YMR001C,1,1.000,0.707,0.000
828,165,YGR098C,1,1.000,0.707,0.000
829,166,YPL209C,4,1.000,0.510,0.167
830,166,YJR089W,4,1.000,0.510,0.167
831,167,YDR254W,25,0.735,0.299,0.157
832,167,YBR107C,23,0.676,0.282,0.131
833,167,YAL034W-A,16,0.471,0.196,0.029
834,167,YDR318W,15,0.441,0.226,0.008
835,167,YIR010W,25,0.735,0.282,0.178
836,167,YLR381W,16,0.471,0.229,0.025
837,167,YGR179C,15,0.441,0.222,0.014
838,167,YPR046W,15,0.441,0.219,0.021
839,167,YPL018W,16,0.471,0.232,0.019
840,167,YBR211C,18,0.529,0.243,0.031
841,167,YKL049C,17,0.500,0.236,0.025
842,168,YOR074C,0,1.000,1.000,0.000
843,169,YLR442C,1,0.500,0.707,0.000
844,169,YDL042C,1,0.500,0.707,0.000
845,170,YMR110C,0,0.000,0.408,0.000
846,170,YPL061W,0,0.000,0.408,0.000
847,170,YOR374W,0,0.000,0.408,0.000
848,170,YER073W,0,0.000,0.408,0.000
849,170,YMR169C,0,0.000,0.408,0.000
850,170,YMR170C,0,0.000,0.408,0.000
851,171,YOL059W,4,0.800,0.468,0.033
852,171,YDL022W,4,0.800,0.468,0.033
853,171,YIL155C,5,1.000,0.496,0.433
854,172,YJL102W,1,1.000,0.707,0.000
855,172,YOR187W,1,1.000,0.707,0.000
856,173,YBR221C,4,0.800,0.539,0.250
857,173,YER178W,4,0.800,0.499,0.450
858,174,YGR101W,3,1.000,0.707,1.000
859,175,YGR231C,2,1.000,0.577,0.000
860,175,YIL114C,2,1.000,0.577,0.000
861,175,YGR132C,2,1.000,0.577,0.000
862,176,YJR077C,0,1.000,1.000,0.000
863,177,YNL026W,16,0.500,0.186,0.015
864,177,YJL143W,16,0.500,0.198,0.017
865,177,YNL131W,25,0.781,0.288,0.081
866,177,YIL022W,16,0.500,0.198,0.017
867,177,YNR017W,18,0.562,0.205,0.044
868,177,YGR082W,20,0.625,0.245,0.034
869,177,YJL054W,20,0.625,0.236,0.041
870,177,YNL070W,20,0.625,0.245,0.039
871,177,YNL121C,23,0.719,0.262,0.066
872,177,YMR203W,28,0.875,0.299,0.167
873,177,YPL063W,18,0.562,0.211,0.046
874,178,YGR264C,23,0.605,0.221,0.021
875,178,YIL078W,20,0.526,0.190,0.024
876,178,YLR382C,25,0.658,0.206,0.044
877,178,YGR185C,29,0.763,0.254,0.053
878,178,YHR020W,20,0.526,0.199,0.011
879,178,YDR037W,26,0.684,0.236,0.035
880,178,YGL245W,24,0.632,0.232,0.019
881,178,YPL160W,29,0.763,0.257,0.047
882,178,YOR168W,28,0.737,0.245,0.093
883,178,YDR023W,21,0.553,0.197,0.030
884,178,YBL076C,26,0.684,0.232,0.049
885,179,YNL117W,8,0.571,0.308,0.054
886,179,YDL131W,10,0.714,0.356,0.133
887,179,YIR031C,8,0.571,0.308,0.054
888,179,YLR153C,8,0.571,0.327,0.023
889,179,YDL182W,11,0.786,0.369,0.224
890,179,YAL054C,9,0.643,0.344,0.055
891,180,YPL029W,1,1.000,0.707,0.000
892,180,YOR017W,1,1.000,0.707,0.000
893,181,YOR257W,1,1.000,0.707,0.000
894,181,YOL072W,1,1.000,0.707,0.000
895,182,YDL084W,10,0.833,0.364,0.053
896,182,YNL139C,10,0.833,0.364,0.053
897,182,YDR381W,12,1.000,0.382,0.311
898,182,YDR138W,10,0.833,0.364,0.053
899,183,YEL037C,0,1.000,1.000,0.000
900,184,YER162C,7,1.000,0.432,0.190
901,184,YGR258C,7,1.000,0.432,0.190
902,185,YAL047C,6,0.857,0.409,0.067
903,185,YKL042W,6,0.857,0.395,0.095
904,185,YDR356W,7,1.000,0.443,0.179
905,186,YJR084W,1,1.000,0.707,0.000
906,186,YPR045C,1,1.000,0.707,0.000
907,187,YPL255W,4,1.000,0.559,0.333
908,187,YLR457C,3,0.750,0.470,0.083
909,187,YLL003W,3,0.750,0.470,0.083
910,188,YOR228C,3,1.000,0.707,1.000
911,189,YLR045C,6,0.750,0.418,0.095
912,189,YER016W,8,1.000,0.479,0.363
913,189,YPR141C,6,0.750,0.404,0.125
914,190,YKL192C,0,1.000,1.000,0.000
915,191,YAL039C,2,1.000,0.707,1.000
916,192,YJR135W-A,10,0.769,0.307,0.012
917,192,YEL020W-A,11,0.846,0.322,0.034
918,192,YDR031W,10,0.769,0.307,0.012
919,192,YGR029W,11,0.846,0.322,0.034
920,192,YKL195W,12,0.923,0.325,0.188
921,192,YGR181W,10,0.769,0.301,0.014
922,192,YHR005C-A,10,0.769,0.301,0.014
923,193,YBR257W,11,1.000,0.303,0.009
924,193,YHR062C,11,1.000,0.303,0.009
925,193,YBR167C,11,1.000,0.303,0.009
926,193,YNL221C,11,1.000,0.303,0.009
927,193,YGR030C,11,1.000,0.303,0.009
928,193,YBL018C,11,1.000,0.303,0.009
929,193,YAL033W,11,1.000,0.303,0.009
930,194,YNL259C,2,1.000,0.707,1.000
931,195,YBR263W,10,0.714,0.298,0.047
932,195,YAL044C,10,0.714,0.252,0.277
933,195,YLR058C,11,0.786,0.318,0.060
934,195,YGR204W,10,0.714,0.301,0.022
935,195,YKR080W,11,0.786,0.328,0.039
936,195,YBR084W,10,0.714,0.301,0.022
937,195,YDR019C,11,0.786,0.329,0.048
938,196,YBR115C,0,1.000,1.000,0.000
939,197,YDR511W,1,1.000,0.707,0.000
940,197,YDR493W,1,1.000,0.707,0.000
941,198,YPL231W,9,1.000,0.480,0.329
942,198,YER061C,5,0.556,0.336,0.030
943,198,YKL055C,5,0.556,0.336,0.030
944,198,YKL182W,8,0.889,0.445,0.208
945,199,YHR162W,2,1.000,0.707,1.000
946,200,YGR277C,6,0.750,0.398,0.018
947,200,YKL088W,6,0.750,0.398,0.018
948,200,YIL083C,6,0.750,0.398,0.018
949,200,YDR196C,8,1.000,0.421,0.482
950,201,YLR304C,13,0.867,0.360,0.156
951,201,YIL125W,13,0.867,0.359,0.168
952,201,YOR136W,11,0.733,0.334,0.049
953,201,YNL037C,11,0.733,0.334,0.049
954,202,YDL174C,1,1.000,0.707,0.000
955,202,YML054C,1,1.000,0.707,0.000
956,203,YLR259C,0,0.000,0.707,0.000
957,203,YBR044C,0,0.000,0.707,0.000
958,204,YIL134W,3,1.000,0.500,0.000
959,204,YDR236C,3,1.000,0.500,0.000
960,204,YMR178W,3,1.000,0.500,0.000
961,204,YDL045C,3,1.000,0.500,0.000
962,205,YNR045W,2,1.000,0.577,0.000
963,205,YER153C,2,1.000,0.577,0.000
964,205,YGR222W,2,1.000,0.577,0.000
965,206,YMR257C,1,1.000,0.707,0.000
966,206,YMR150C,1,1.000,0.707,0.000
967,207,YOL114C,1,1.000,0.707,0.000
968,207,YGL143C,1,1.000,0.707,0.000
969,208,YFL018C,0,1.000,1.000,0.000
970,209,YOL062C,11,0.786,0.353,0.064
971,209,YGR167W,10,0.714,0.341,0.027
972,209,YBL037W,14,1.000,0.379,0.344
973,209,YGL206C,10,0.714,0.341,0.027
974,210,YCR047C,2,1.000,0.707,1.000
975,211,YHR077C,1,1.000,0.707,0.000
976,211,YDR021W,1,1.000,0.707,0.000
977,212,YLR271W,1,1.000,0.707,0.000
978,212,YGR218W,1,1.000,0.707,0.000
979,213,YBL024W,5,0.625,0.393,0.000
980,213,YJL125C,5,0.625,0.393,0.000
981,213,YDL201W,5,0.625,0.393,0.000
982,213,YML080W,5,0.625,0.393,0.000
983,213,YDR120C,8,1.000,0.443,0.607
984,213,YOL124C,5,0.625,0.393,0.000
985,214,YGR072W,2,1.000,0.577,0.000
986,214,YBR143C,2,1.000,0.577,0.000
987,214,YDR172W,2,1.000,0.577,0.000
988,215,YLR249W,0,1.000,1.000,0.000
989,216,YER165W,8,0.889,0.644,0.861
990,216,YKL025C,2,0.222,0.281,0.000
991,216,YGL094C,2,0.222,0.281,0.000
992,216,YOR359W,2,0.222,0.291,0.000
993,216,YLL013C,3,0.333,0.313,0.222
994,216,YJL138C,2,0.222,0.281,0.000
995,216,YPR163C,2,0.222,0.281,0.000
996,217,YDL160C,2,1.000,0.707,1.000
997,218,YDR432W,0,1.000,1.000,0.000
998,219,YGR162W,2,1.000,0.577,0.000
999,219,YGL049C,2,1.000,0.577,0.000
1000,219,YNL016W,2,1.000,0.577,0.000
1001,220,YER044C-A,4,0.800,0.440,0.000
1002,220,YHR157W,4,0.800,0.440,0.000
1003,220,YLR329W,4,0.800,0.440,0.000
1004,220,YMR133W,4,0.800,0.440,0.000
1005,220,YJR021C,5,1.000,0.462,0.400
1006,221,YPL157W,1,1.000,0.707,0.000
1007,221,YNR004W,1,1.000,0.707,0.000
1008,222,YBL080C,3,1.000,0.612,0.667
1009,223,YLR281C,3,1.000,0.612,0.667
1010,224,YGR243W,0,1.000,1.000,0.000
1011,225,YNL123W,3,1.000,0.557,0.167
1012,225,YOR197W,3,1.000,0.557,0.167
1013,226,YKR079C,1,1.000,0.707,0.000
1014,226,YER168C,1,1.000,0.707,0.000
1015,227,YNR074C,0,1.000,1.000,0.000
1016,228,YPR024W,4,1.000,0.636,0.833
1017,228,YMR115W,2,0.500,0.473,0.000
1018,228,YCL044C,2,0.500,0.473,0.000
1019,229,YMR111C,1,1.000,0.707,0.000
1020,229,YFR006W,1,1.000,0.707,0.000
1021,230,YGR019W,0,1.000,1.000,0.000
1022,231,YJR104C,0,1.000,1.000,0.000
1023,232,YKL067W,0,1.000,1.000,0.000
1024,233,YLR136C,0,1.000,1.000,0.000
1025,234,YJR095W,1,1.000,0.707,0.000
1026,234,YLR174W,1,1.000,0.707,0.000
1027,235,YLR355C,5,1.000,0.448,0.067
1028,235,YJR148W,5,1.000,0.448,0.067
1029,235,YJR016C,5,1.000,0.448,0.067
1030,236,YGR194C,4,1.000,0.479,0.056
1031,236,YLR354C,4,1.000,0.479,0.056
1032,236,YLR070C,4,1.000,0.479,0.056
1033,237,YDL130W-A,2,0.500,0.500,0.500
1034,237,YGR008C,3,0.750,0.653,0.833
1035,238,YDR256C,2,1.000,0.577,0.000
1036,238,YKL026C,2,1.000,0.577,0.000
1037,238,YGR088W,2,1.000,0.577,0.000
1038,239,YHR106W,9,0.750,0.336,0.048
1039,239,YGR209C,10,0.833,0.366,0.078
1040,239,YPL091W,9,0.750,0.327,0.073
1041,239,YML028W,9,0.750,0.324,0.083
1042,240,YLR191W,22,0.957,0.289,0.152
1043,240,YGL153W,19,0.826,0.270,0.058
1044,240,YNL329C,16,0.696,0.254,0.015
1045,240,YOL147C,18,0.783,0.256,0.059
1046,240,YDR265W,16,0.696,0.254,0.015
1047,240,YMR026C,17,0.739,0.257,0.030
1048,240,YDR329C,16,0.696,0.242,0.034
1049,240,YDL065C,18,0.783,0.267,0.050
1050,240,YDR244W,16,0.696,0.254,0.016
1051,241,YNL202W,10,1.000,0.399,0.156
1052,241,YKR009C,9,0.900,0.375,0.082
1053,241,YGL205W,9,0.900,0.375,0.082
1054,242,YJR078W,5,0.833,0.431,0.044
1055,242,YLR231C,5,0.833,0.431,0.044
1056,242,YBL098W,6,1.000,0.462,0.244
1057,243,YHR008C,2,1.000,0.577,0.000
1058,243,YHR050W,2,1.000,0.577,0.000
1059,243,YGR257C,2,1.000,0.577,0.000
1060,244,YOL067C,3,1.000,0.500,0.000
1061,244,YBL103C,3,1.000,0.500,0.000
1062,244,YNL076W,3,1.000,0.500,0.000
1063,244,YGL252C,3,1.000,0.500,0.000
1064,245,YJL101C,0,1.000,1.000,0.000
1065,246,YAR015W,0,1.000,1.000,0.000
1066,247,YBR068C,1,1.000,0.707,0.000
1067,247,YCL018W,1,1.000,0.707,0.000
1068,248,YBR185C,0,1.000,1.000,0.000
1069,249,YER017C,1,1.000,0.707,0.000
1070,249,YMR089C,1,1.000,0.707,0.000
1071,250,YOR020C,0,1.000,1.000,0.000
1072,251,YBR112C,3,0.750,0.565,0.500
1073,251,YCR084C,3,0.750,0.565,0.500
1074,252,YHR072W-A,2,1.000,0.707,1.000
1075,253,YOR211C,4,1.000,0.510,0.167
1076,253,YLL001W,4,1.000,0.510,0.167
1077,254,YMR176W,3,1.000,0.707,1.000
1078,255,YJR133W,2,1.000,0.577,0.000
1079,255,YNL141W,2,1.000,0.577,0.000
1080,255,YDL238C,2,1.000,0.577,0.000
1081,256,YJR047C,1,1.000,0.707,0.000
1082,256,YHR068W,1,1.000,0.707,0.000
1083,257,YOR009W,3,1.000,0.612,0.667
1084,258,YOL022C,1,1.000,0.707,0.000
